municipio,modalidad,tipo,nombre,direccion,codigo_postal,aforo_interior,aforo_terraza
ADEJE,RESTAURACION,BAR,CALYPSO,"AVDA VENEZUELA, 18 - C.C. LA PONDEROSA, L-14/15",38670,9,40
ADEJE,RESTAURACION,BAR,BAR-PISCINA,"LONDRES ESQ. BRUSELAS, 11 (URB. PLAYA DE FAÑABE)",38670,80,0
ADEJE,RESTAURACION,BAR,ZUM KROMBACHER,HOTEL  PONDEROSA C.C. (LAS AMERICAS) ,38000,0,25
ADEJE,RESTAURACION,BAR,PEPE Y LOLA,"PASAJE PUERTITO DE ADEJE, 10 ",38678,24,24
ADEJE,RESTAURACION,BAR,MARTA,"ASTURIAS, C.C. BALCON DEL ATLANTICO, L-6",38660,0,0
ADEJE,RESTAURACION,BAR,BAMBOO,"C.C. ESMERALDA, L-5 Y 6 (CALLAO SALVAJE) ",38680,50,25
ADEJE,RESTAURACION,BAR,STEPHANS,APTOS. PUEBLO TORVISCAS LOC. 101 ,38670,0,20
ADEJE,RESTAURACION,BAR,CHINGUARIME,"TIJOCO BAJO, 21 ",38670,0,0
ADEJE,RESTAURACION,BAR,BIT PUNTO DE ENCUENTRO,"CIUDAD JARDIN, 2-8. C.C. ",38000,0,0
ADEJE,RESTAURACION,BAR,"GATO DE CHESHIRE, EL","COMPLEJO CENTRO COSTA, 4-10 ",38660,0,0
ADEJE,RESTAURACION,BAR,"DELFIN, SNACK BAR",PARQUE OCTOPUS (SAN EUGENIO ALTO) ,38670,30,0
ADEJE,RESTAURACION,BAR,GARFIELD'S,C.C. SALYTIEN ,38670,30,0
ADEJE,RESTAURACION,BAR,GEORDIE PRIDE,"AVDA. DE COLON, 5 - C.C. PUERTO COLON, L-232B ",38660,9,20
ADEJE,RESTAURACION,BAR,CLUB SQUID,"C.C. PUEBLO CANARIO, 222 (SAN EUGENIO) ",38670,0,0
ADEJE,RESTAURACION,BAR,"ARADO, EL","TORVISCAS, L-8.6 URB. ",38670,0,0
ADEJE,RESTAURACION,BAR,STEAK 21,"C/ LA LAVA, 7, C.C. ESMERALDA, L-5 ",38678,40,0
ADEJE,RESTAURACION,BAR,"COLMENA, LA","HOTEL SANTA MARIA, 54 ",38650,105,0
ADEJE,RESTAURACION,BAR,FRAGA,"GENERAL FRANCO, 30 ",38000,70,0
ADEJE,RESTAURACION,BAR,AUTO BAR,"LAS AMERICAS, PYA. ",38000,0,0
ADEJE,RESTAURACION,BAR,NINFA,"C/. VALENCIA, S/N. (C.C. COSTA, L-75)",38670,0,0
ADEJE,RESTAURACION,BAR,LIBERTY (LIBERTAD),"HOTEL SANTAMARIA, L-57 (URB. SAN EUGENIO)",38670,20,0
ADEJE,RESTAURACION,BAR,ROMA,"LAS FLORITAS, 9 EDIF.  ",38660,13,21
ADEJE,RESTAURACION,BAR,"RANAS, LAS","MARE VERDE, 7 APTOS. ",38670,0,58
ADEJE,RESTAURACION,BAR,REY SOL,LOC.C. HOTEL BOUGANVILLE 34-LAS AMERICAS ,38000,0,0
ADEJE,RESTAURACION,BAR,"PICOTEO, EL","SAN EUGENIO, C.C. -LOCAL-14 ",38000,0,0
ADEJE,RESTAURACION,BAR,MATRIX CLUB 1,"C/. ERNESTO SARTI, S/N. (C.C. ESMERALDA, L-11/12 1ª PLANTA)",38670,15,0
ADEJE,RESTAURACION,BAR,CAFE ROYAL,"APTOS. TENERIFE ROYAL GARDEN, L-CC3",38670,50,0
ADEJE,RESTAURACION,BAR,ALEJANDRO'S BAR,"AVDA. DE LOS PUEBLOS, 32 (C.C. LAGUNA PARK I, L-1B)",38660,0,0
ADEJE,RESTAURACION,BAR,LA FUENTE,"AVDA. ALCALDE WALTER PAETZMAN, S/N. (C.C. MIRADOR DEL DUQUE, L-2B)",38660,10,0
ADEJE,RESTAURACION,BAR,LINO´S CAFE,"AVDA. ADEJE 300, S/N, C.C. MARQUES, L-2",38678,10,19
ADEJE,RESTAURACION,BAR,MENFIS,URB. TORVISCAS ,38620,0,0
ADEJE,RESTAURACION,BAR,NIGHT CLUB,BOCA CANGREJO; URB. MARAZUL DEL SUR ,38000,150,0
ADEJE,RESTAURACION,BAR,HIPERDINO,"NAVE PARCELA 53, SECTOR 9, C.C. HIPERDINO FAÑABÉ ",38670,0,0
ADEJE,RESTAURACION,BAR,COMME CHEZ NOUS,"PUERTO COLON, L-103 (PUERTO COLON) ",38670,15,24
ADEJE,RESTAURACION,BAR,PISCINA,APTOS. CALLAO GARDEN ,38000,0,60
ADEJE,RESTAURACION,BAR,TATOÑO,"GENERAL LOS OLIVOS, 76 CTRA.  ",38600,0,0
ADEJE,RESTAURACION,BAR,"HIERRO, EL",APTOS CALLAO GARDEN ,38000,80,18
ADEJE,RESTAURACION,BAR,ISTAMBUL CAFE (CAFE ESTAMBUL),"AVDA. DE ESPAÑA, S/N. (C.C. LA NIÑA PTA. 3, L-60)",38660,0,0
ADEJE,RESTAURACION,BAR,SALA FLAMINGO,"C.C. CENTRO COSTA, LOCAL 2-2 (AMERICAS) ",38000,0,0
ADEJE,RESTAURACION,BAR,"CHIRINGUITO, EL",MARE VERDE APTOS. (TORVISCAS BAJO) ,38670,0,16
ADEJE,RESTAURACION,BAR,CAFE STEPS INTERNACIONAL,"C/. LONDRES, 5  (C.C. PLAYA FAÑABE, L-7)",38670,0,0
ADEJE,RESTAURACION,BAR,NIAGARA,"GENERAL FRANCO, 9 ",38670,31,14
ADEJE,RESTAURACION,BAR,BERLIN,"AVDA RAFAEL PUIG LLUVINA, 1, C.C. BORA BORA, L17/18",38660,38,42
ADEJE,RESTAURACION,BAR,MORIN,"URB. SAN EUGENIO -APTOS. VILLAMAR, 4 ",38000,0,0
ADEJE,RESTAURACION,BAR,BURTON,"C/ COLON, 6, C.C. PUERTO COLON, L-220 ",38670,27,0
ADEJE,RESTAURACION,BAR,"TABERNA, LA (THE BOOZER)",PARAISO PYA.  ,38660,25,0
ADEJE,RESTAURACION,BAR,RAVELO,"AVDA. CONSTITUCION, 33 (EDIF. STEL, PORTAL 6, L-1)",38670,0,0
ADEJE,RESTAURACION,BAR,WIGAN PIER TAMBIEN (EL MUELLE DE WIGAN TAMBIEN),"LOS ATAMANES, L-4 ",38670,0,0
ADEJE,RESTAURACION,BAR,KIOSKO HELADERIA FOTOGRAFIA,"AVDA. DE AUSTRIA, 15 (AQUALAND)",38660,0,0
ADEJE,RESTAURACION,BAR,ACAPULCO,LAS AMERICAS ,38000,0,0
ADEJE,RESTAURACION,BAR,POOL CENTER (CENTRO DE BILLARES),"C.C. PUERTO COLON, L-323",38660,0,0
ADEJE,RESTAURACION,BAR,DANCE CLUB ¡OH YEES!,"VENEZUELA, 6 Y 7  ",38660,40,0
ADEJE,RESTAURACION,BAR,"TRES HERRADURAS, LAS",C.C. CALLAO SALVAJE ,38000,30,0
ADEJE,RESTAURACION,BAR,GALWAY GIRL,"C/ COLON, S/N - C.C. PUERTO COLON, L-137",38660,19,40
ADEJE,RESTAURACION,BAR,GUARDIAN A,PUERTO COLON ,38000,0,0
ADEJE,RESTAURACION,BAR,THE COTTAGE,"C.C. BORA BORA, 6 ",38000,0,0
ADEJE,RESTAURACION,BAR,"CHICHOLINA, LA","AVDA. DE LOS PUEBLOS, 32 (C.C. LAGUNA PARK I, L-1/2A)",38660,0,0
ADEJE,RESTAURACION,BAR,EXTRAVAGANZA (EXTRAVAGANCIA),PUEBLO CANARIO LOC-314 C.C.,38670,0,0
ADEJE,RESTAURACION,BAR,BORSALINO CABARET,"AVDA RAFAEL PUIG LLUVINIA, S/N. (C.C. SALYTIEN, L-C14)",38660,80,0
ADEJE,RESTAURACION,BAR,ANCORA,"PRINCIPAL LA CALETA, S/N. ",38670,0,0
ADEJE,RESTAURACION,BAR,VITORY LORD NELSON,"PUERTO COLON, S/N ",38000,40,20
ADEJE,RESTAURACION,BAR,ALFREDO FRAGA,ADEJE ,38670,0,0
ADEJE,RESTAURACION,BAR,ALONSO,EMETERIO GUTIERREZ ARBELO ,38670,20,0
ADEJE,RESTAURACION,BAR,CHARLIE´S CLUB,"AV. LITORAL, S/N. (ANEXO HOTEL GRAN TINE RFE)",38670,0,0
ADEJE,RESTAURACION,BAR,"RINCONCITO, EL",C.C. PONDEROSA (LAS AMERICAS) ,38000,0,0
ADEJE,RESTAURACION,BAR,LOBBY BAR,MARE VERDE APTOS.  (URB. TORVISCAS) ,38670,80,0
ADEJE,RESTAURACION,BAR,BAR-HALL,"LONDRES ESQ. BRUSELAS, 11 (URB. PLAYA DE FAÑABE)",38670,400,0
ADEJE,RESTAURACION,BAR,IKER,"C/ NIVARIA - C.C. SUEÑO AZUL, L-3 ",38678,20,10
ADEJE,RESTAURACION,BAR,"KIOSKO, EL","OLIVOS, PZA. BDA. OLIVOS ",38000,0,0
ADEJE,RESTAURACION,BAR,THE IRISH OAK,"AVDA. ERNESTO SARTI, S/N - C.C. RIO CENTER, L-19",38660,50,43
ADEJE,RESTAURACION,BAR,FACES,"SAN EUGENIO, L-1 URB. ",38000,0,0
ADEJE,RESTAURACION,BAR,PARQUE LAS AMERICAS,AVDA. LITORAL S/N. - PLAYA AMERICAS ,38000,0,0
ADEJE,RESTAURACION,BAR,"GOLETA, LA","CLUB ATLANTIS, L-3 (LAS AMERICAS) ",38000,30,23
ADEJE,RESTAURACION,BAR,FRYER TUCKS PLAICE,"C.C. CRISTAL CENTER, L-3 ",38000,0,8
ADEJE,RESTAURACION,BAR,THE HORSESHOE,"AVDA ESPAÑA, 51 - C.C. SANTA MARIA, L-59/61",38660,60,0
ADEJE,RESTAURACION,BAR,SUNSET (PUESTA DE SOL),"LITORAL, L-43 C.C.  ",38670,10,40
ADEJE,RESTAURACION,BAR,PISCINA,HOTEL PARAISO FLORAL (PLAYA PARAISO) ,38678,0,0
ADEJE,RESTAURACION,BAR,ATLANTICO,LOS OLIVOS ,38670,0,0
ADEJE,RESTAURACION,BAR,SCRUPLES,"MALIBU PARK, 13 ",38000,0,0
ADEJE,RESTAURACION,BAR,AUTOSUR RACING,"CTRA. ADEJE-GUIA DE ISORA, KM. 118,200",38670,8,9
ADEJE,RESTAURACION,BAR,"CASA DE LA PRADERA, LA",CRUCE DE ADEJE ,38000,0,0
ADEJE,RESTAURACION,BAR,DELFIN,PARQUE ACUATICO OCTOPUS,38670,0,100
ADEJE,RESTAURACION,BAR,COLUMBUS,URB. SAN EUGENIO ,38008,104,0
ADEJE,RESTAURACION,BAR,MONTECRISTO,"C/ EL JABLE, S/N, C.C. ESMERALDA, L-27",38678,32,16
ADEJE,RESTAURACION,BAR,BOUTIQUE DEL PAN IBON,"CLUB PARAISO, L-3 C.C. ",38000,0,0
ADEJE,RESTAURACION,BAR,VIBES BEACH BAR,"C/ COLON, S/N - C.C. PUERTO COLON, L-15",38660,19,30
ADEJE,RESTAURACION,BAR,TUDOR ROSE,"TEIDE, L-31 C.C. ",38670,20,24
ADEJE,RESTAURACION,BAR,"ROSAS, LAS","LAS ROSAS, 9 BDA. ARME|IME ",38670,0,0
ADEJE,RESTAURACION,BAR,DANGTONNYS (ANGEL Y ANTONIO),"C.C. SAN EUGENIO, L-20 (LAS AMERICAS) ",38612,0,0
ADEJE,RESTAURACION,BAR,EL VAPORETTO,"AVDA. PUERTO COLON, 1, C.C. PUERTO COLON, L-133B",38660,5,20
ADEJE,RESTAURACION,BAR,LITTLE GERMANY,"C/ LA LAVA, 22, EDIF. EL ANCLA, L-22A",38678,32,0
ADEJE,RESTAURACION,BAR,KINGSTON REGGAE BAR,"AVDA. ESPAÑA, 10 - BAJOS HOTEL SANTA MARIA, L-57",38660,56,0
ADEJE,RESTAURACION,BAR,FAMILIA LINEKERS (LINEKERS FAMILY BAR),"LAGUNA PARK I, 5/6 URB. ",38600,0,0
ADEJE,RESTAURACION,BAR,CORNETO,C/. EL HORNO (RES. CLUB PARAISO L-10),38678,0,0
ADEJE,RESTAURACION,BAR,O'BRIENS BAR (EL BAR DE O'BRIENS),"PUERTO COLON, L-230 C.C. ",38678,0,0
ADEJE,RESTAURACION,BAR,DULCES SONRISAS,"C/. EL CARDON, S/N. (EDIF. EL KARMA, L-9)",38670,0,0
ADEJE,RESTAURACION,BAR,"BULL´S HEAD, THE","C.C. BORA BORA, LOCAL 4_(LAS AMERICAS) ",38660,36,0
ADEJE,RESTAURACION,BAR,RACKETT´S,"C.C. MALIBU PARK, L-20 (SAN EUGENIO) ",38000,30,24
ADEJE,RESTAURACION,BAR,FACES,C.C. MARMARINA LOC. 1; SAN EUGENIO ,38000,25,0
ADEJE,RESTAURACION,BAR,CB ZION CAFE,"C.C. PUERTO COLON, L-121 (TORVISCAS) ",38660,26,20
ADEJE,RESTAURACION,BAR,PLAYA FAÑABE IV,"C.C. LITORAL FAÑABE, IV UR. PLAYAS DE FAÑABE",38670,0,0
ADEJE,RESTAURACION,BAR,ADEJE,"GENERAL FRANCO, 55 ",38670,0,0
ADEJE,RESTAURACION,BAR,YORDY'S,"AVDA RAFAEL PUIG LLVUINA, S/N  C.C. VERONICAS III, L-19/20",38660,33,20
ADEJE,RESTAURACION,BAR,"CRASY DUCK, THE",PLAYA PARAISO ,38000,25,0
ADEJE,RESTAURACION,BAR,SCRUFFY DUFFY´S (EL TRABAJADOR),"PENETRACION, AVDA. LOCAL 3/4 - LAS AMERI CAS",38680,0,0
ADEJE,RESTAURACION,BAR,"COCKTELERIA, LA","AVDA. RAFAEL PUIG LLIVINIA, 13 (HOTEL GRAN TINERFE, L-7)",38660,0,0
ADEJE,RESTAURACION,BAR,SANCHEZ,GENERAL PLAYA SAN JUAN CTRA. ,38000,0,0
ADEJE,RESTAURACION,BAR,FENIX,"C/ PIEDRA REDONDA, 48, bajo, L-1",38670,35,0
ADEJE,RESTAURACION,BAR,CASTING'S BAR,"PRESIDENTE, L-15 C.C. (SUEÑO AZUL) ",38670,0,0
ADEJE,RESTAURACION,BAR,MIAMI,"EDIFICIO CARIBE, LOCAL 2 ",38670,0,0
ADEJE,RESTAURACION,BAR,LORD BLACK,C.C. PLAYA SHOP BAJO 2 SOTANO ,38000,0,0
ADEJE,RESTAURACION,BAR,MARAZUL II,BOCA CANGREJO; URB. MARAZUL DEL SUR ,38000,30,0
ADEJE,RESTAURACION,BAR,MATRIX,"ERNESTO SARTI, S/N. AVDA. (URB. MAREVERDE, L-7)",38670,0,0
ADEJE,RESTAURACION,BAR,YESTERDAY (AYER),"IRLANDA, 4 (EDIF. COLINA BLANCA) LOCAL 9, SAN EUGENIO ALTO ",38000,0,0
ADEJE,RESTAURACION,BAR,VIKING II,"C.C. OCEAN CENTER, LOCAL 3 (AMERICAS) ",38660,0,0
ADEJE,RESTAURACION,BAR,TEIDE,ARMEÑIME ,38000,0,0
ADEJE,RESTAURACION,BAR,OASIS,"MARAZUL DEL SUR, A-108 URB. ",38680,0,0
ADEJE,RESTAURACION,BAR,SHEBEEN,LITORAL S/N,38600,0,0
ADEJE,RESTAURACION,BAR,THE ELDON HOUSE PUB,"AVDA. ADEJE 300, 14, COMPLEJO PARAISO DEL SUR, L-106 ",38678,27,28
ADEJE,RESTAURACION,BAR,ARNIES BAR,"C/. LA LAVA, S/N. (C.C. ESMERALDA, L-19)",38678,25,25
ADEJE,RESTAURACION,BAR,RINCON DEL MOJITO,"C/ LONDRES, 3, C.C. SUN BEACH, L-8",38660,10,10
ADEJE,RESTAURACION,BAR,RIVERO,TIJOCO ABAJO ,38000,0,0
ADEJE,RESTAURACION,BAR,HIPPOTAMUS,C.C. PLAYA FA|ABE LOC. 7 ,38670,24,0
ADEJE,RESTAURACION,BAR,COACH HOUSE,"C.C. PUEBLO CANARIO, 106",38670,0,0
ADEJE,RESTAURACION,BAR,RENDEZVOUS (CITA),"ALJIBE, 16 L-3 (URB. PLAYA PARAISO) ",38670,0,0
ADEJE,RESTAURACION,BAR,PIEDRA REDONDA,"CTRA. GRAL. LOS OLIVOS, 44 ",38000,0,0
ADEJE,RESTAURACION,BAR,MELODY'S,LA PONDEROSA EDIF. ,38660,0,0
ADEJE,RESTAURACION,BAR,DELICIAS,"AVDA BRUSELAS, 4, C.C. SAN MIGUEL I (KIOSKO)",38660,0,62
ADEJE,RESTAURACION,BAR,TEQUILA BOOM,"EDIF. VI|A DEL MAR, L-C (LAS AMERICAS) ",38000,0,0
ADEJE,RESTAURACION,BAR,ACE CAFE,"C/ COLON, S/N - C.C. PUERTO COLON, L-217",38660,29,11
ADEJE,RESTAURACION,BAR,LOS AMIGOS,"AVDA DE ESPAÑA, 5 - C.C. LA PINTA, L-19 (BAJOS DEL HOTEL)",38660,11,20
ADEJE,RESTAURACION,BAR,LUNA LLENA,EDIF. RESID. STELLA POSTURA ,38670,25,8
ADEJE,RESTAURACION,BAR,COLINA BLANCA,APARTHOTEL COLINA BLANCA ,38660,90,24
ADEJE,RESTAURACION,BAR,JOLLY JOKER,"C. COSTA,  84 (TORVISCAS) ",38670,12,16
ADEJE,RESTAURACION,BAR,CDTCA (CENTRO DE DESARROLLO TURÍSTICO COSTA ADEJE),"C/ DE LAS JARCIAS, 4 ESQ. AVDA DE LOS OCEANOS (GALEON)",38670,0,44
ADEJE,RESTAURACION,BAR,RENDEZVOUS,CC PLAYA SHOP - LAS AMERICAS (L- 3 Y 4),38000,0,0
ADEJE,RESTAURACION,BAR,LA CHURUATA,"C/ VERODE, 27, L-1 - URB. CHARCO DEL VALLE",38670,30,0
ADEJE,RESTAURACION,BAR,"PRIMERO Y EL ULTIMO, EL (THE FIRST AND LAST)","LITORAL FAÑABE, L-58/60 C.C. URB. PLAYAS DE FAÑABE",38670,0,0
ADEJE,RESTAURACION,BAR,TEA HOUSE (CASA DEL TE),"AVDA. SIAM PARK, S/N. (PARQUE ACUATICO SIAM PARK)",38660,20,0
ADEJE,RESTAURACION,BAR,TIKI TAKA,"C/ HELSINKI, 6, VILLAS DEL DUQUE, L-7",38660,10,8
ADEJE,RESTAURACION,BAR,CAFE HUPALUPU,"C/. HELSINKI, S/N. (C.C. OASIS DAKOTA, L-27/28)",38660,0,0
ADEJE,RESTAURACION,BAR,TABAIBA,"C/ LA CRUZ, 34 (ANTES CTRA. GENERAL LOS OLIVOS , S/N)",38670,29,0
ADEJE,RESTAURACION,BAR,JULIAN URBANO,"GENERAL ARMEÑIME, 30 ",38670,16,0
ADEJE,RESTAURACION,BAR,ANGEL,"SAN EUGENIO, L-20 C.C. ",38670,5,5
ADEJE,RESTAURACION,BAR,NEW GALAXIA,C.C. SALYTIEN (LAS AMERICAS) ,38670,60,0
ADEJE,RESTAURACION,BAR,LIBERTY,"URB. SAN EUGENIO, 57 (HOTEL STA. MARIA) ",38670,20,0
ADEJE,RESTAURACION,BAR,WARSTEINER ECK,"VISTA NAUTICA, L-1 EDIF. ",38670,22,32
ADEJE,RESTAURACION,BAR,CHEERS (SALUD),"HOTEL ESMERALDA, L-2 C.C.  ",38670,35,52
ADEJE,RESTAURACION,BAR,THE COBRA BAR (COBRA BAR),"COMPLEJO LAGUNA PARK I, L-12",38000,20,22
ADEJE,RESTAURACION,BAR,THAI BAR,"AVDA. SIAM PARK, S/N. (PARQUE ACUATICO SIAM PARK)",38660,0,0
ADEJE,RESTAURACION,BAR,BOUNTY,"COMERCIAL SHOP, L-1 ",38660,0,6
ADEJE,RESTAURACION,BAR,ANGELO,URB. CALLAO SALVAJE. LOS BUNGALOWS ,38000,0,0
ADEJE,RESTAURACION,BAR,RONNIE'S,"CALLAO SALVAJE EDF. ESMERALDA, 25 ",38678,0,0
ADEJE,RESTAURACION,BAR,"PIRATA, EL (THE PIRATE)","OASIS, L-2 APTOS. ",38670,0,0
ADEJE,RESTAURACION,BAR,BISTROT MONTMARTRE,"UNTERHACHING, S/N (C.C. PARIS - HOTEL GRAN TACANDE)",38670,6,56
ADEJE,RESTAURACION,BAR,NIGHTCAP BAR,"AVDA. ERNESTO SARTI, 8, C.C. ESMERALDA, L-13",38660,13,0
ADEJE,RESTAURACION,BAR,KIR ROYAL,"APTOS. VISTA NAUTICA, S/N. ",38678,130,0
ADEJE,RESTAURACION,BAR,"YORKSHIRE ROSE, THE (LA ROSA DE YORKSHIRE)","TEIDE, C.C. - LOCAL-35 ",38000,27,24
ADEJE,RESTAURACION,BAR,COQUELUCHE,"LA CALETA CASA LA ENDRAMADA, 6 ",38670,60,0
ADEJE,RESTAURACION,BAR,KIOSCO DE LA JUVENTUD,FAÑABE PLAZA ,38670,0,0
ADEJE,RESTAURACION,BAR,PLAYAOLID,"ERNESTO SARTI, 18 (URB. TORVISCAS) ",38679,40,0
ADEJE,RESTAURACION,BAR,ERIKA,"CC. GALAXIA, NUM. 5- PLAYA DE LAS AMERICAS ",38660,0,0
ADEJE,RESTAURACION,BAR,"GANDUL TRAMPISTA, EL (THE ARTFUL DODGER)","ESMERALDA, L-15 C.C.  ",38660,25,20
ADEJE,RESTAURACION,BAR,TEMPLE BAR,"AVDA. DE ESPAÑA, 1,  LOS GERANIOS, LOCAL 4",38660,40,20
ADEJE,RESTAURACION,BAR,"REBUMBIO, EL","BRUSELAS, S/N. AVDA. (C.C. FAÑABE PLAZA, L-250)",38670,0,0
ADEJE,RESTAURACION,BAR,THE CHIPPY (EL BARATO),"MARINA PRIMAVERA, L-4 C.C.  ",38670,0,0
ADEJE,RESTAURACION,BAR,"TEJAS, LAS","DOCTOR DE LAS CASAS, 13 ",38670,25,0
ADEJE,RESTAURACION,BAR,"AMIGOS, LOS","CTRA. GRAL. LOS MENORES - GUIA DE ISORA, 18",38670,20,0
ADEJE,RESTAURACION,BAR,TANYO'S,"C/ VALENCIA, 1 - URB. PUEBLO TORVISCAS , L-3",38660,42,0
ADEJE,RESTAURACION,BAR,NO MERCY (SIN LIMITES),"C/. VENEZUELA, S/N. (C.C. PONDEROSA, L-7/8)",38660,0,0
ADEJE,RESTAURACION,BAR,"BUBALU, SALON SOCIAL",NEPTUNO APTOS. (URB. TORVISCAS CENTRO) ,38000,0,0
ADEJE,RESTAURACION,BAR,RENDEZVOUZ (ENCUENTRO),"PUEBLO CANARIO, L-221 C.C. ",38660,0,0
ADEJE,RESTAURACION,BAR,ARMEÑIME,"LEON FELIPE, 10-BDA.  ",38670,45,0
ADEJE,RESTAURACION,BAR,"NEW GALAXIA, SALA DE FIESTAS","PONDEROSA, L-4 C.C. (LAS AMERICAS) ",38660,30,0
ADEJE,RESTAURACION,BAR,STRIKER'S (DEPORTIVO DEL FUTBOLISTA),"KRISTAL CENTER, L-4,5 C.C. ",38660,35,8
ADEJE,RESTAURACION,BAR,SORRISO (SONRISA),"C/. VALENCIA, S/N. (C.C. PUEBLO TORVISCAS, L-E01)",38660,0,0
ADEJE,RESTAURACION,BAR,YACHT INN,"C.C. COLON, LOC. 222 - PTO. COLON ",38660,16,16
ADEJE,RESTAURACION,BAR,"GUITARRA, LA","GENERAL FRANCO, 8 ",38670,20,0
ADEJE,RESTAURACION,BAR,CHAPLIN,"SALYTIEN, L-6/7/8 C.C.  ",38000,0,0
ADEJE,RESTAURACION,BAR,FOODS AND HORSES,ATLANTIS CLUB LOC. 4 SAN EUGENIO ,38650,30,0
ADEJE,RESTAURACION,BAR,ALVARO,"OCEAN CENTER, 10 C.C.  ",38000,4,15
ADEJE,RESTAURACION,BAR,SABROSO,"C/ LAS ARTES, 22, RESID. BAHIA LA CALETA, L-2",38679,12,18
ADEJE,RESTAURACION,BAR,THE OLD NEW PLANET FOOTBALL,"LAGUNA PARK I, 34 L-5/6 URB.",38640,30,0
ADEJE,RESTAURACION,BAR,SALON,"C/. BRUSELAS, 5 (APTOS. CASTALIA PARK) ",38670,0,0
ADEJE,RESTAURACION,BAR,CAFETERIA ESTACION,"AVDA DE LOS PUEBLOS - ESTACION DE GUAGUAS DE PYA. LAS AMERICAS, 1ª PLANTA",38670,50,0
ADEJE,RESTAURACION,BAR,BLACK HORSE,"C.C. PUERTO COLON, 102 (PALO BLANCO) ",38660,16,20
ADEJE,RESTAURACION,BAR,OASIS DEL SUR,SAN EUGENIO ALTO ,38670,0,0
ADEJE,RESTAURACION,BAR,KATY'S,"AVDA RAFAEL PUIG LLUVINA, S/N - C.C. PLAYA SHOP L- 7/8 ",38660,50,0
ADEJE,RESTAURACION,BAR,CLUB BOIX,PLAYA SHOP-LAS AMERICAS PYA. ,38000,0,0
ADEJE,RESTAURACION,BAR,TASCA LA CUEVITA,"C/. JOSE ESPRONCEDA, 16 (LAS ROSAS)",38670,20,0
ADEJE,RESTAURACION,BAR,TAMAIDE,"ATBITOCAZPE (EDIF. TAMAIDE, L-3/4) ",38670,8,8
ADEJE,RESTAURACION,BAR,KIOSKO SOLARIUM,"AVDA. DE AUSTRIA, 15 (AQUALAND)",38660,0,0
ADEJE,RESTAURACION,BAR,THE TOBY JUG,"AVDA EUROPA, APTOS. OASIS, L-5   ",38660,35,20
ADEJE,RESTAURACION,BAR,HALL VICTORIA,MAREVERDE APTOS. ,38670,100,0
ADEJE,RESTAURACION,BAR,PIANO & SAX BAR,GALAXIA LOC.-1 C.C.,38660,0,0
ADEJE,RESTAURACION,BAR,"JUNGLE, THE","C.C. STARCO, L-110-111-112 ",38660,0,0
ADEJE,RESTAURACION,BAR,RENDEZ VOUS,C.C. PLAYA SHOP LOC. 3-4 ,38000,25,0
ADEJE,RESTAURACION,BAR,PRINCE REGENT,C.C. SUN BEACH (PLAYA FAÑABE)  L-E.1,38680,16,16
ADEJE,RESTAURACION,BAR,HALL,URB. TORVISCAS ALTA (PARCELA 11 C) ,38000,0,0
ADEJE,RESTAURACION,BAR,"CAVE PUB, THE (LA CUEVA)",ISLAND VILLAGE (SAN EUGENIO ALTO) ,38000,12,16
ADEJE,RESTAURACION,BAR,LORO PUB,"AMERICAN SHOPPING BAJO, L-3 C.C. (LAS AM ERICAS)",38660,0,0
