municipio,modalidad,tipo,nombre,direccion,codigo_postal,categoria,unidades_alojativas,plazas_alojativas
ADEJE,EXTRAHOTELERA,APARTAMENTO,HACIENDAS IV,"C/. DINAMARCA, 7 (SAN EUGENIO ALTO)",38660,3 ESTRELLAS PROVISIONAL,62,314
ADEJE,EXTRAHOTELERA,APARTAMENTO,PLAYAOLID,"AVDA. ERNESTO SARTI, 18 (URB. TORVISCAS)",38660,3 LLAVES,202,587
ADEJE,EXTRAHOTELERA,APARTAMENTO,FLORIDA PARK CLUB,URB. SAN EUGENIO ALTO (SAN EUGENIO),38670,2 LLAVES,31,81
ADEJE,EXTRAHOTELERA,APARTAMENTO,LAGOS DE FAÑABE,"C/. LONDRES, 8 (PLAYA DE FAÑABE)",38670,4 ESTRELLAS,113,265
ADEJE,EXTRAHOTELERA,APARTAMENTO,COSTA ADEJE GARDENS,"AVDA. EUROPA (SAN EUGENIO), 29",38670,1 LLAVE,50,177
ADEJE,EXTRAHOTELERA,APARTAMENTO,CARIBE,"AVDA. V CENTENARIO, 3",38660,3 ESTRELLAS,110,220
ADEJE,EXTRAHOTELERA,BUNGALOW,BUNGAMERICA,"URUGUAY, 2",38660,2 LLAVES,32,114
ADEJE,EXTRAHOTELERA,CASA EMBLEMATICA,"GRANERO, EL ","C/. LA CONCEPCION, 6",38677,CATEGORIA UNICA,2,4
ADEJE,EXTRAHOTELERA,CASA RURAL,EL ESTANCO VIEJO,"C/ EL PEDREGAL, S/N",38677,COMPARTIDO OTROS USUARIOS,4,9
ADEJE,EXTRAHOTELERA,CASA RURAL,"TAJONA, LA","BARRIO LA CONCEPCION, 2",38677,EXCLUSIVO,1,3
ADEJE,EXTRAHOTELERA,CASA RURAL,SIN DENOMINACION,"C/ LA CONCEPCION, S/N",38670,,1,2
ADEJE,HOTELERA,HOTEL,ROYAL GARDEN RIVER,"C/. ALCOJORA, S/N. (BARRANCO LAS TORRES)",38660,5 ESTRELLAS GRAN LUJO,50,140
ADEJE,HOTELERA,HOTEL,PANORAMA,"C/. GRAN BRETAÑA, 8",38660,3 ESTRELLAS,174,446
ADEJE,HOTELERA,HOTEL,CORAL OCEAN VIEW,"AVDA. VENEZUELA, 10",38670,4 ESTRELLAS,143,299
ADEJE,HOTELERA,HOTEL,"PINTA, LA","AVDA. DE ESPAÑA (SAN EUGENIO), 5",38670,4 ESTRELLAS,229,523
ADEJE,HOTELERA,HOTEL,GRAN HOTEL BAHIA DEL DUQUE,"AVDA. ALCALDE WALTER PAETZMAN, S/N.",38660,5 ESTRELLAS LUJO,362,732
ADEJE,HOTELERA,HOTEL,GF GRAN COSTA ADEJE,"AVDA. BRUSELAS, 16",38660,5 ESTRELLAS,458,802
ADEJE,HOTELERA,HOTEL,PALM BEACH TENERIFE,"AVDA. V CENTENARIO, 11",38660,2 ESTRELLAS,318,967
ADEJE,HOTELERA,HOTEL,SANTA MARIA,"AVDA. ERNESTO SARTI, S/N.",38660,3 ESTRELLAS,402,906
ADEJE,HOTELERA,HOTEL,ROYAL GARDEN VILLAS,C/. ALCOJORA (PARCELA RT-4) CAMPO DE GOLF DE ADEJE,38670,5 ESTRELLAS GRAN LUJO,28,90
ADEJE,HOTELERA,HOTEL,SUNWING RESORT FAÑABE,"C/. LONDRES, 4 (URB. PLAYA DE FAÑABE)",38000,4 ESTRELLAS,241,482
ADEJE,HOTELERA,HOTEL,BAHIA PRINCIPE TENERIFE,"C/. IDAFE, 5",38670,4 ESTRELLAS,244,560
ADEJE,HOTELERA,HOTEL,RIU BUENAVISTA,"C/. HORNO (PLAYA PARAISO), 35",38660,4 ESTRELLAS,509,1100
ADEJE,HOTELERA,HOTEL,ISABEL,"AVDA. MOSCU, 2",38660,4 ESTRELLAS,384,778
ADEJE,HOTELERA,HOTEL,MYND ADEJE,"C/. EL JABLE (CALLAO SALVAJE), 36",38670,4 ESTRELLAS,165,330
ADEJE,HOTELERA,HOTEL,ROCA NIVARIA ,"AVDA. ADEJE 300, S/N.",38660,5 ESTRELLAS,289,577
ADEJE,HOTELERA,HOTEL,BAHIA PRINCIPE COSTA ADEJE,"C/. IDAFE, 5",38670,4 ESTRELLAS,505,1112
ADEJE,HOTELERA,HOTEL,OLE TROPICAL TENERIFE ,"C/. BOLIVIA, S/N. (PLAYA DE LAS AMÉRICAS)",38660,4 ESTRELLAS,189,392
ADEJE,HOTELERA,HOTEL,COLON GUANAHANI,"AVDA.  BRUSELAS (PLAYA FAÑABE), 9",38670,4 ESTRELLAS,154,308
ADEJE,HOTELERA,HOTEL,RIU ARECAS,LA HERRADURA PARCELA I URB.,38670,4 ESTRELLAS,371,697
ADEJE,HOTELERA,HOTEL,ALUASOUL COSTA ADEJE ,"AVDA. DE ESPAÑA (SAN EUGENIO), 26",38660,4 ESTRELLAS,226,454
ADEJE,HOTELERA,HOTEL,FLAMINGO SUITES,"AVDA. DE ESPAÑA, S/N.",38670,4 ESTRELLAS,18,50
ADEJE,HOTELERA,HOTEL,VICTORIA SUITE HOTEL,"PLAYA DEL DUQUE, S/N.",38670,5 ESTRELLAS GRAN LUJO,242,484
ADEJE,HOTELERA,HOTEL,GRAN HOTEL CALLAO SPORT,"C/. EL CANTO, S/N. (URB. EL JABLE)",38670,4 ESTRELLAS,92,190
ADEJE,HOTELERA,HOTEL,CLUB ATLANTIS,"AVDA. COLON (SAN EUGENIO), 3",38670,4 ESTRELLAS,255,533
ADEJE,HOTELERA,HOTEL,VILLA TAGORO,"C/. GALICIA, 3",38679,4 ESTRELLAS,205,615
ADEJE,HOTELERA,HOTEL,COSTA ADEJE PALACE,PLAYA DE LA ENRAMADA (LA CALETA),38670,4 ESTRELLAS,467,646
ADEJE,HOTELERA,HOTEL,GRAN TINERFE,"AVDA. RAFAEL PUIG LLUVINA, 13",38660,4 ESTRELLAS,365,703
ADEJE,HOTELERA,HOTEL,IBEROSTAR SABILA,"AVDA. ERNESTO SARTI, 5",38670,5 ESTRELLAS,472,836
ADEJE,HOTELERA,HOTEL,SUITE VILLA MARIA,"AVDA. DE LOS ACANTILADOS, S/N. (PUERTO COLON)",38670,5 ESTRELLAS,78,318
ADEJE,HOTELERA,HOTEL,TROYA,"AVDA. RAFAEL PUIG LLUVINA, 2",38670,4 ESTRELLAS,354,708
ADEJE,HOTELERA,HOTEL,JACARANDA,"C/. BRUSELAS (URB. FAÑABE), 4-6",38670,4 ESTRELLAS,563,1083
ADEJE,HOTELERA,HOTEL,HARD ROCK HOTEL,"AVDA. ADEJE 300, 2",38678,5 ESTRELLAS,624,1250
ADEJE,HOTELERA,HOTEL,IBEROSTAR GRAND HOTEL ANTHELIA,"C/. LONDRES (URB.PLAYA DEL DUQUE), 15",38660,5 ESTRELLAS,391,727
ADEJE,HOTELERA,HOTEL,ALTOS DEL DUQUE,PARCELA 3B PLAN PARCIAL PLAYAS DEL DUQUE,38660,5 ESTRELLAS,40,94
ADEJE,HOTELERA,HOTEL,FLAMINGO BEACHMATE,"AVDA. ESPAÑA (URB. SAN EUGENIO), 3",38670,4 ESTRELLAS,139,326
ADEJE,HOTELERA,HOTEL,MELIA JARDINES DEL TEIDE,"AVDA. AGANDO, S/N. (URB. MIRADOR DEL DUQUE)",38670,5 ESTRELLAS,300,600
ADEJE,HOTELERA,HOTEL,GRAN TACANDE,"AVDA.FERNANDO LÓPEZ, S/N, (ANTIGUO  ALCALDE WALTER PAETZMANN)",38670,5 ESTRELLAS,250,428
ADEJE,HOTELERA,HOTEL,ATLANTIC HOLIDAY CENTER,"C/. LA LAVA, 10",38678,4 ESTRELLAS,94,188
ADEJE,HOTELERA,HOTEL,"DUQUE, EL","AVDA. BRUSELAS, 14",38660,4 ESTRELLAS,210,486
ADEJE,HOTELERA,HOTEL,LA PLANTACION DEL SUR,"C/. ROQUE NUBLO, 1",38660,5 ESTRELLAS LUJO,164,330
ADEJE,HOTELERA,HOTEL,"TIVOLI LA CALETA, COSTA ADEJE, TENERIFE RESORT","C/. LA ENRAMADA, 9",38779,5 ESTRELLAS GRAN LUJO,284,544
ADEJE,HOTELERA,HOTEL,WYNDHAM RESIDENCES COSTA ADEJE,"C/. FINLANDIA (SAN EUGENIO ALTO), 8",38660,1 ESTRELLA,63,179
ADEJE,HOTELERA,HOTEL,CHATUR PLAYA REAL,"AVDA. MOSCU (URB. JARDINES DEL DUQUE), 111",38670,4 ESTRELLAS,95,190
ADEJE,HOTELERA,HOTEL,MALIBU PARK I,"C/. ITALIA (SAN EUGENIO ALTO), 4",38670,3 ESTRELLAS,161,332
ADEJE,HOTELERA,HOTEL,"HIBISCOS, LOS","AVDA. DE LOS PUEBLOS (URB. SAN EUGENIO), 2",38660,3 ESTRELLAS,296,577
ADEJE,HOTELERA,HOTEL,TROPICAL PARK,"C/. EL JABLE, 41",3867,4 ESTRELLAS,160,506
ADEJE,HOTELERA,HOTEL,HOVIMA SUITES COSTA ADEJE,"AVDA. BRUSELAS (PLAYA DE FAÑABE), 8",38670,4 ESTRELLAS,440,1317
ADEJE,HOTELERA,HOTEL,"DALIAS, LAS","C/. GRAN BRETAÑA (SAN EUGENIO), 1",38660,4 ESTRELLAS,404,728
ADEJE,HOTELERA,HOTEL,JARDIN TROPICAL,"C/. GRAN BRETAÑA, S/N.",38670,3 ESTRELLAS,37,76
ADEJE,HOTELERA,HOTEL,RIU PALACE TENERIFE,"C/. LA HERRADURA, S/N. PARCELA I (URB.  LA CALETA)",38679,4 ESTRELLAS,296,502
ADEJE,HOTELERA,HOTEL,BOUGANVILLE PLAYA,"AVDA. ERNESTO SARTI (SAN EUGENIO), 5",38660,4 ESTRELLAS,481,914
ADEJE,HOTELERA,HOTEL,H10 ATLANTIC SUNSET,"AVDA. ADEJE 300, 15",38678,5 ESTRELLAS,291,582
ADEJE,HOTELERA,HOTEL,HOVIMA COSTA ADEJE,"AVDA. ERNESTO SARTI (URB. TORVISCAS), 8",38660,4 ESTRELLAS,313,589
ADEJE,HOTELERA,HOTEL,IBEROSTAR GRAND HOTEL EL MIRADOR,"AVDA. BRUSELAS, S/N. (PLAYA DEL DUQUE)",38660,5 ESTRELLAS GRAN LUJO,127,254
ADEJE,HOTELERA,HOTEL,WYNDHAM RESIDENCES COSTA ADEJE,"C/. FINLANDIA (SAN EUGENIO ALTO), 8",38670,1 ESTRELLA,25,81
ADEJE,HOTELERA,HOTEL,JARDINES DE NIVARIA,"C/. PARIS, S/N. (PLAYA DE FAÑABE)",38660,5 ESTRELLAS,269,546
ADEJE,HOTELERA,HOTEL,PRINCESS INSPIRE TENERIFE,"C/. BRUSELAS (FAÑABE), 1",38660,4 ESTRELLAS,266,550
ADEJE,HOTELERA,HOTEL,DREAMS JARDÍN TROPICAL RESORT & SPA,"C/. GRAN BRETAÑA, S/N",38670,4 ESTRELLAS,376,737
ADEJE,HOTELERA,HOTEL,JARDIN CALETA,"C/. LA CALETA, 34",38670,3 ESTRELLAS,244,496
ADEJE,HOTELERA,HOTEL,PONDEROSA,AVDA. CONSTITUCION (EDIF. TENEGUIA II),38670,3 ESTRELLAS,175,406
ADEJE,HOTELERA,HOTEL,ROYAL HIDEAWAY CORALES RESORT,"AVDA. VIRGEN DE GUADALUPE (PLAYA DE LA ENRAMADA), 21",38679,5 ESTRELLAS GRAN LUJO,235,602
ADEJE,HOTELERA,HOTEL,VILLA DE ADEJE BEACH,"AVDA. LOS PUEBLOS (SAN EUGENIO), 41",38660,3 ESTRELLAS,120,240
ADEJE,HOTELERA,HOTEL,GF FAÑABE,"AVDA. BRUSELAS, 13",38660,4 ESTRELLAS,413,826
ADEJE,HOTELERA,HOTEL,GUAYARMINA PRINCESS,"C/. LONDRES (PLAYA DE FAÑABE), 1",38670,4 ESTRELLAS,506,1028
ADEJE,HOTELERA,HOTEL RURAL,FONDA CENTRAL,"GRANDE, 26",38670,1 PALMERA,11,22
ADEJE,HOTELERA,HOTEL URBANO,SUNCANARIAS HOTEL ADEJE PLAZA,"C/. GRANDE, 34",38670,1 ESTRELLA,9,18
ADEJE,HOTELERA,PENSION,ROCHIL,"CORPUS CHRISTI, 29",38670,1 ESTRELLA,11,22
ADEJE,HOTELERA,PENSION,"FINQUITA, LA","SUBIDA DE TAUCHO, LOS MENORES",38670,1 ESTRELLA,10,20
ADEJE,HOTELERA,PENSION,RAMBLA,"GRANDE, 7",38670,1 ESTRELLA,9,15
ADEJE,EXTRAHOTELERA,VILLA,VILLA DUQUE 14,"C/. BISCHOFSHOFEN, 14",38679,CATEGORIA UNICA PROVISIONAL,1,6
ADEJE,EXTRAHOTELERA,VILLA,VILLA DUQUE 18,"C/. BISCHOFSHOFEN, 18",,CATEGORIA UNICA PROVISIONAL,1,6
ADEJE,EXTRAHOTELERA,VILLA,VILLA DUQUE 16,"C/. BISCHOFSHOFEN, 18",38660,CATEGORIA UNICA PROVISIONAL,1,6
ADEJE,EXTRAHOTELERA,VIVIENDA TURISTICA,DAVID,CHALET 121 DE SUEÑO AZUL,38600,SIN DATO,2,4
ARAFO,EXTRAHOTELERA,CASA RURAL,CASA DEL CURA VIEJO,"C/ ANDRES OROZCO BATISTA, 18",38550,COMPARTIDO OTROS USUARIOS,3,7
ARAFO,EXTRAHOTELERA,CASA RURAL,LO DE CARTA,"CTRA. A LA CUMBRE (MONTE LOS FRAILES), KM. 5,5",38550,EXCLUSIVO,3,6
ARAFO,EXTRAHOTELERA,CASA RURAL,"CASITA, LA","C/ JOSE ANTONIO, 13",38550,EXCLUSIVO,2,4
ARICO,EXTRAHOTELERA,CASA EMBLEMATICA,"VIÑITA, LA","C/ VEINTICINCO DE JULIO, 14",38589,CATEGORIA UNICA,2,4
ARICO,EXTRAHOTELERA,CASA RURAL,"CANGO, EL","C/ VERA LOS CANGUEROS, 8-10",38580,EXCLUSIVO,1,3
ARICO,EXTRAHOTELERA,CASA RURAL,"DICA, LA","C/ VISTA DEL BALO, 37",38592,COMPARTIDO OTROS USUARIOS,2,7
ARICO,EXTRAHOTELERA,CASA RURAL,CASA MUSEO,"C/ LA LUZ, 6",38589,EXCLUSIVO,1,2
ARICO,EXTRAHOTELERA,CASA RURAL,MAMA LOLA,"C/ TRECE DE SEPTIEMBRE, 11",38580,EXCLUSIVO,2,6
ARICO,EXTRAHOTELERA,CASA RURAL,LOS GAVILANES,"C/. LOS GAVILANES, 22",38580,CATEGORIA UNICA,3,6
ARICO,EXTRAHOTELERA,CASA RURAL,LA MALVASIA,FINCA LA QUINTA,38580,COMPARTIDO OTROS USUARIOS,6,15
ARICO,EXTRAHOTELERA,CASA RURAL,EL SITIO DE LA CASA,"C/ LA LUZ, 14",38580,EXCLUSIVO,3,6
ARICO,EXTRAHOTELERA,CASA RURAL,"ESCUELA, LA","C/ BENITEZ DE LUGO, 12",38580,EXCLUSIVO,3,6
ARICO,EXTRAHOTELERA,CASA RURAL,"BELESA, LA ","C/ TRECE DE SEPTIEMBRE, 13",38589,EXCLUSIVO,2,5
ARICO,EXTRAHOTELERA,CASA RURAL,CASA RENOLLON,"C/ BENITEZ DE LUGO, 10",38589,CATEGORIA UNICA,2,4
ARICO,EXTRAHOTELERA,CASA RURAL,"MORAL, EL","C/ CASTILLO, 13",38589,EXCLUSIVO,2,4
ARICO,EXTRAHOTELERA,CASA RURAL,FINCA CABRERA,LOMO CENTENO,38592,COMPARTIDO OTROS USUARIOS,2,4
ARICO,EXTRAHOTELERA,CASA RURAL,"TUNERA, LA","C/ MANZANO, 16",38580,EXCLUSIVO,2,4
ARICO,HOTELERA,HOTEL,VIÑA VIEJA,"LA LUZ, 8",38589,2 ESTRELLAS,9,18
ARICO,EXTRAHOTELERA,VIVIENDA TURISTICA,VILLA ISABEL,"NUEVA, 6",38000,SIN DATO,2,4
ARICO,EXTRAHOTELERA,VIVIENDA TURISTICA,"PLAZA, LA","VERA DE LOS CANGUEROS, 4",38260,SIN DATO,3,6
ARICO,EXTRAHOTELERA,VIVIENDA TURISTICA,GUAJARA,"C/ SAN BARTOLOME, 7",38593,SIN DATO,2,3
ARICO,EXTRAHOTELERA,VIVIENDA TURISTICA,CASA GRILLO,"CALLEJON EL LLANO, 6 (EL CARMEN)",38580,SIN DATO,2,4
ARICO,EXTRAHOTELERA,VIVIENDA TURISTICA,CASA BAILON,FINCA LAS AGUILILLAS IMOSE,38589,SIN DATO,2,3
ARONA,EXTRAHOTELERA,APARTAMENTO,DON JOSE,"MARIA AMALIA FRIAS, 2",38660,1 LLAVE,28,103
ARONA,EXTRAHOTELERA,APARTAMENTO,PARQUE SANTIAGO III-SANTIAGO SUR,"AVDA. DE LAS AMERICAS, 2",38660,3 LLAVES,468,1357
ARONA,EXTRAHOTELERA,APARTAMENTO,COLON II,"AVDA. RAFAEL PUIG LLUVINA, 13",38660,3 LLAVES,90,235
ARONA,EXTRAHOTELERA,APARTAMENTO,"CLAVELES, LOS","ASOMADA DE LOS CERES, S/N.",38650,2 LLAVES,105,370
ARONA,EXTRAHOTELERA,APARTAMENTO,EL CHAPARRAL - AVANTI,"AVDA. ALFONSO TAVIO, S/N.",38000,1 LLAVE,4,9
ARONA,EXTRAHOTELERA,APARTAMENTO,VILLAMANDI GOLF RESORT,"C/. LADERAS DEL ESPEJO (CAMPO DE GOLF), 7",38660,5 LLAVES,108,218
ARONA,EXTRAHOTELERA,APARTAMENTO,ORO BLANCO,"ARQUITECTO GOMEZ CUESTA, 12",38000,2 LLAVES,143,442
ARONA,EXTRAHOTELERA,APARTAMENTO,THE SUITES AT BEVERLY HILLS,"C/. RODEO (OASIS DEL SUR), 9",38650,3 LLAVES,247,890
ARONA,EXTRAHOTELERA,APARTAMENTO,DRAGO-LAURENT,URB. TEN-BEL (AGRUPACION DRAGO),38630,1 LLAVE,2,8
ARONA,EXTRAHOTELERA,APARTAMENTO,PLAYAZUL II,"C/. ARQUITECTO GOMEZ CUESTA, 6",38660,2 LLAVES,89,285
ARONA,EXTRAHOTELERA,APARTAMENTO,HG CRISTIAN SUR,"AMSTERDAN, 4 - AVDA.",38650,3 LLAVES,132,496
ARONA,EXTRAHOTELERA,APARTAMENTO,PALOMA BEACH-PARKES,"AVDA. JUAN CARLOS I, 43",38640,3 ESTRELLAS,127,405
ARONA,EXTRAHOTELERA,APARTAMENTO,SOL MAR,"LAS LEANDRAS, S/N.",38650,1 LLAVE,22,52
ARONA,EXTRAHOTELERA,APARTAMENTO,ANDORRA,"C/. ANTONIO DOMINGUEZ, 10",38660,2 LLAVES,59,185
ARONA,EXTRAHOTELERA,APARTAMENTO,COMPOSTELA BEACH,"AVDA. LITORAL, 8",38660,3 LLAVES,242,836
ARONA,EXTRAHOTELERA,APARTAMENTO,SAINT GEORGE,"AVDA. FINLANDIA, 5",38650,3 ESTRELLAS,104,248
ARONA,EXTRAHOTELERA,APARTAMENTO,PARADERO II,"C/. ARQUITECTO GOMEZ CUESTA, S/N.",38660,1 LLAVE,60,120
ARONA,EXTRAHOTELERA,APARTAMENTO,PARADISE PARK,"OASIS DEL SUR, S/N. URB.",38650,3 LLAVES,112,361
ARONA,EXTRAHOTELERA,APARTAMENTO,COSTA SILENCIO-WESTHAVEN BAY,"C/. DE LA TE, 15",38630,1 LLAVE,25,91
ARONA,EXTRAHOTELERA,APARTAMENTO,OASIS GOLF RESORT,"C/. MEANDRO, 3",38650,4 ESTRELLAS,206,489
ARONA,EXTRAHOTELERA,APARTAMENTO,VICTORIA COURT I,"C/. LONDRES, 6",38650,1 LLAVE,105,336
ARONA,EXTRAHOTELERA,APARTAMENTO,ROYAL PALM,"C/. EL RODEO (URB. OASIS DEL SUR), 6",38650,2 LLAVES,130,366
ARONA,EXTRAHOTELERA,APARTAMENTO,BAL APARTMENTS,"C/. CARACAS, 20",38660,2 LLAVES,11,38
ARONA,EXTRAHOTELERA,APARTAMENTO,"CARDONES, LOS","AVDA. RAFAEL PUIG LLUVINA, 17",38660,2 LLAVES,38,113
ARONA,EXTRAHOTELERA,APARTAMENTO,MAR Y SOL,"AVDA. AMSTERDAN, 8",38650,3 ESTRELLAS,164,423
ARONA,EXTRAHOTELERA,APARTAMENTO,VERODAL,"MONTAÑA CHICA, S/N.",38000,2 LLAVES,12,48
ARONA,EXTRAHOTELERA,APARTAMENTO,"FUENTES, LAS",SUECIA AVDA. PROLONGACION,38000,2 LLAVES,18,54
ARONA,EXTRAHOTELERA,APARTAMENTO,PIRAMIDES,"C/. VICTOR ZURITA SOLER, 4",38660,3 LLAVES,338,742
ARONA,EXTRAHOTELERA,APARTAMENTO,PRIMAVERA,TEN-BEL URB.,38640,3 LLAVES,267,797
ARONA,EXTRAHOTELERA,APARTAMENTO,CASTLE HARBOUR,"AVDA. SAN FRANCISCO, S/N. (URB. OASIS DEL SUR)",38650,3 LLAVES,183,424
ARONA,EXTRAHOTELERA,APARTAMENTO,KLAYMAN OLIVINA APARTHOTEL,"AVDA. AMSTERDAM (URB. OASIS DEL SUR), 6",38650,3 LLAVES,49,135
ARONA,EXTRAHOTELERA,APARTAMENTO,ALBORADA OCEAN CLUB,"AVDA. FERNANDO SALAZAR GONZALEZ, S/N.",38640,3 LLAVES,282,846
ARONA,EXTRAHOTELERA,APARTAMENTO,AGUAMAR,"C/. ALBANY, 2",38650,3 LLAVES,140,430
ARONA,EXTRAHOTELERA,APARTAMENTO,VISTASUR,"DE LAS AMERICAS, 10, AVDA.",38660,3 LLAVES,59,215
ARONA,EXTRAHOTELERA,APARTAMENTO,CORAL COMPOSTELA BEACH GOLF,"C/. LOS ARENALES (CAMPO DE GOLF DE LAS AMERICAS), 16",38660,3 ESTRELLAS,156,326
ARONA,EXTRAHOTELERA,APARTAMENTO,GUAYERO,PENETRACION AVDA.,38640,2 LLAVES,32,96
