municipio,nombre,grupo
Las Palmas De Gran Canaria,Casa Miguel Y Mirian Ii,Bar-Cafeteria
Las Palmas De Gran Canaria,Pantumaka,Bar-Cafeteria
Santa Lucia De Tirajana, Pepe Perez,Bar-Cafeteria
Las Palmas De Gran Canaria,Toronto,Bar-Cafeteria
Las Palmas De Gran Canaria,Guayasen,Bar-Cafeteria
Ingenio,Tasca La Ermita,Bar-Cafeteria
Las Palmas De Gran Canaria,Nuestra Señora,Bar-Cafeteria
Santa Lucia De Tirajana,Perico El Decano,Bar-Cafeteria
Las Palmas De Gran Canaria,Hamburgueseria La Bomba,Bar-Cafeteria
Las Palmas De Gran Canaria,Edificio España,Bar-Cafeteria
Santa Maria De Guia De Gran Canaria,"7, El",Bar-Cafeteria
San Bartolome De Tirajana,Cuatro Esquinas,Bar-Cafeteria
Ingenio,Lagar Canario,Bar-Cafeteria
Las Palmas De Gran Canaria,Rachi I,Bar-Cafeteria
Las Palmas De Gran Canaria,Lomo Blanco,Bar-Cafeteria
Arucas,Bajamar,Bar-Cafeteria
Las Palmas De Gran Canaria,The Irish Rover,Bar-Cafeteria
Valsequillo De Gran Canaria,"Vegas, Las",Bar-Cafeteria
Telde,Baudilio,Bar-Cafeteria
La Aldea De San Nicolas,Oliva,Bar-Cafeteria
Moya,Pizzeria Ca'Masita,Bar-Cafeteria
Las Palmas De Gran Canaria,Mar Cantabrico,Bar-Cafeteria
Las Palmas De Gran Canaria,Piscolabis Tato,Bar-Cafeteria
Ingenio,Sanchez,Bar-Cafeteria
Santa Lucia De Tirajana,"Ficus, El",Bar-Cafeteria
Las Palmas De Gran Canaria,"Campana, La",Bar-Cafeteria
Las Palmas De Gran Canaria,Canaima,Bar-Cafeteria
Las Palmas De Gran Canaria,Vicente,Bar-Cafeteria
Las Palmas De Gran Canaria,Bodegón Al Cubano,Bar-Cafeteria
Las Palmas De Gran Canaria,Jose Antonio,Bar-Cafeteria
Las Palmas De Gran Canaria,Lopez,Bar-Cafeteria
Santa Brigida,"Ramal, El",Bar-Cafeteria
Las Palmas De Gran Canaria,Cocopito,Bar-Cafeteria
Las Palmas De Gran Canaria,Momento Cafe,Bar-Cafeteria
Galdar,Sushimi Galdar,Bar-Cafeteria
San Bartolome De Tirajana,Playa,Bar-Cafeteria
Santa Maria De Guia De Gran Canaria,Mirador S11,Bar-Cafeteria
Valsequillo De Gran Canaria,Tito,Bar-Cafeteria
Las Palmas De Gran Canaria,Tabaiba. Cocina Canaria Evolutiva,Bar-Cafeteria
Las Palmas De Gran Canaria,Hermanos Lantigua E Hijos,Bar-Cafeteria
Galdar,El Puente,Bar-Cafeteria
Las Palmas De Gran Canaria,Diaz,Bar-Cafeteria
Las Palmas De Gran Canaria,Bodega Del Cura,Bar-Cafeteria
Las Palmas De Gran Canaria,Bodegón Don Juan Pachichi,Bar-Cafeteria
Las Palmas De Gran Canaria,Faunos,Bar-Cafeteria
Las Palmas De Gran Canaria,Café Tolima,Bar-Cafeteria
Las Palmas De Gran Canaria,Hermelinda Santana Sosa,Bar-Cafeteria
Las Palmas De Gran Canaria,"Tejas, Las",Bar-Cafeteria
Las Palmas De Gran Canaria,Ruta-23,Bar-Cafeteria
Agaete,Ragú,Bar-Cafeteria
Mogan,Cobana,Bar-Cafeteria
Ingenio,Marfu,Bar-Cafeteria
Las Palmas De Gran Canaria,La Eminencia,Bar-Cafeteria
Las Palmas De Gran Canaria,Kiosko Perez Galdos,Bar-Cafeteria
Las Palmas De Gran Canaria,Texas,Bar-Cafeteria
San Bartolome De Tirajana,Cafe De Paris I,Bar-Cafeteria
Las Palmas De Gran Canaria,Piscolabis El Pilar,Bar-Cafeteria
San Bartolome De Tirajana,Butzi´S Bar ,Bar-Cafeteria
Las Palmas De Gran Canaria,"Pecallenia, La",Bar-Cafeteria
San Bartolome De Tirajana,Tenderete,Bar-Cafeteria
San Bartolome De Tirajana,Amazonas,Bar-Cafeteria
Las Palmas De Gran Canaria,Barlovento Cocktail Bar,Bar-Cafeteria
Las Palmas De Gran Canaria,New Roll,Bar-Cafeteria
Las Palmas De Gran Canaria,La Cantonera,Bar-Cafeteria
San Bartolome De Tirajana,Sascha'S Piano,Bar-Cafeteria
Las Palmas De Gran Canaria,Hygge Brunch &Amp; Tapas Bar,Bar-Cafeteria
San Bartolome De Tirajana,Susi,Bar-Cafeteria
Santa Brigida,Pluma,Bar-Cafeteria
Las Palmas De Gran Canaria,Miguel,Bar-Cafeteria
Las Palmas De Gran Canaria,Nuevo Refugio,Bar-Cafeteria
Galdar,"Cuarta, La",Bar-Cafeteria
San Bartolome De Tirajana,Wua Café,Bar-Cafeteria
San Bartolome De Tirajana,Siroco Bei Esteban,Bar-Cafeteria
Las Palmas De Gran Canaria,San Lorenzo,Bar-Cafeteria
Las Palmas De Gran Canaria,"Pepos, Los",Bar-Cafeteria
Moya,"Tilos, Los",Bar-Cafeteria
Telde,Domingo,Bar-Cafeteria
Santa Lucia De Tirajana,Esquina,Bar-Cafeteria
San Bartolome De Tirajana,Alegranza I,Bar-Cafeteria
Las Palmas De Gran Canaria,"Gustito Latino, El",Bar-Cafeteria
Las Palmas De Gran Canaria,"Perojo Cafe Bar, El",Bar-Cafeteria
Santa Brigida,"Cucharones De Las Meleguinas, Los",Bar-Cafeteria
Telde,Habla De Ti,Bar-Cafeteria
San Bartolome De Tirajana,Café Wien,Bar-Cafeteria
Las Palmas De Gran Canaria,Naranja,Bar-Cafeteria
Las Palmas De Gran Canaria,My Frien,Bar-Cafeteria
Mogan,Eve Night Club,Bar-Cafeteria
Las Palmas De Gran Canaria,Parate Bueno,Bar-Cafeteria
Las Palmas De Gran Canaria,"Posada, La",Bar-Cafeteria
San Bartolome De Tirajana,Discoteca D2,Bar-Cafeteria
Galdar,Manolo,Bar-Cafeteria
Las Palmas De Gran Canaria,Nuevo Montesdeoca,Bar-Cafeteria
Las Palmas De Gran Canaria,"Cubi, El",Bar-Cafeteria
Santa Lucia De Tirajana,Guatatiboa,Bar-Cafeteria
San Bartolome De Tirajana,"Xanadú Hostelería Y Restauración, S.C.P.",Bar-Cafeteria
Agaete,Casa Lolo,Bar-Cafeteria
San Bartolome De Tirajana,Terraza Aida,Bar-Cafeteria
Telde,Zurita,Bar-Cafeteria
Teror,Mateo Boro,Bar-Cafeteria
Las Palmas De Gran Canaria,"Peña, La",Bar-Cafeteria
Las Palmas De Gran Canaria,Malibu,Bar-Cafeteria
Las Palmas De Gran Canaria,Entra Y Verás,Bar-Cafeteria
Las Palmas De Gran Canaria,La Parada,Bar-Cafeteria
Las Palmas De Gran Canaria,Hermanos Lantigua E Hijos,Bar-Cafeteria
Santa Lucia De Tirajana,Torres,Bar-Cafeteria
Valsequillo De Gran Canaria,El Pilar,Bar-Cafeteria
Aguimes,"Cuevas, Las",Bar-Cafeteria
Telde,"Remudas, Las",Bar-Cafeteria
Moya,"Tosquillas, Las",Bar-Cafeteria
San Bartolome De Tirajana,Pipo,Bar-Cafeteria
San Bartolome De Tirajana,La Jungla,Bar-Cafeteria
Telde,Manolo,Bar-Cafeteria
San Bartolome De Tirajana,Norcopia,Bar-Cafeteria
Mogan,Doña Pino,Bar-Cafeteria
Las Palmas De Gran Canaria,La Puerta,Bar-Cafeteria
San Bartolome De Tirajana,Hot Scandal,Bar-Cafeteria
San Bartolome De Tirajana,Miauu ,Bar-Cafeteria
Las Palmas De Gran Canaria,Granier Panes Artesanos,Bar-Cafeteria
Las Palmas De Gran Canaria,Andalucia,Bar-Cafeteria
San Bartolome De Tirajana,Casas Pepe,Bar-Cafeteria
Santa Lucia De Tirajana,Pozo,Bar-Cafeteria
Las Palmas De Gran Canaria,Cosmo Pizza,Bar-Cafeteria
Las Palmas De Gran Canaria,Cbc,Bar-Cafeteria
Valleseco,La Herradura,Bar-Cafeteria
Las Palmas De Gran Canaria,Guss Point,Bar-Cafeteria
Las Palmas De Gran Canaria,Crazy Horse,Bar-Cafeteria
Las Palmas De Gran Canaria,Kennedy,Bar-Cafeteria
Las Palmas De Gran Canaria,Abuela,Bar-Cafeteria
San Bartolome De Tirajana,Rincon Andaluz,Bar-Cafeteria
Las Palmas De Gran Canaria,"Rincón De Las Rehoyas, El",Bar-Cafeteria
Las Palmas De Gran Canaria,Coliseum,Bar-Cafeteria
Teror,Dulcería Cafetería Benítez,Bar-Cafeteria
Las Palmas De Gran Canaria,Rincon Canario,Bar-Cafeteria
Las Palmas De Gran Canaria,Kojak,Bar-Cafeteria
San Bartolome De Tirajana,Café Brasil,Bar-Cafeteria
Las Palmas De Gran Canaria,El Escondite Interlatin Bar,Bar-Cafeteria
San Bartolome De Tirajana,Klamote I,Bar-Cafeteria
Las Palmas De Gran Canaria,Fany'S,Bar-Cafeteria
Las Palmas De Gran Canaria,Casa Rosa,Bar-Cafeteria
Las Palmas De Gran Canaria,Origenes2,Bar-Cafeteria
Mogan,Rider'S Cafe Dancing,Bar-Cafeteria
Las Palmas De Gran Canaria,Sushi Yi Bar La Esquina,Bar-Cafeteria
Las Palmas De Gran Canaria,"Catalina, La",Bar-Cafeteria
San Bartolome De Tirajana,Znightdisco,Bar-Cafeteria
Las Palmas De Gran Canaria,Casa Trujillo,Bar-Cafeteria
San Bartolome De Tirajana,"Esquina Alemana, La",Bar-Cafeteria
Las Palmas De Gran Canaria,Blanco Y Negro,Bar-Cafeteria
Las Palmas De Gran Canaria,Piano Bar Guarapo,Bar-Cafeteria
Las Palmas De Gran Canaria,Bridge,Bar-Cafeteria
Santa Brigida,Federico,Bar-Cafeteria
Las Palmas De Gran Canaria,"Panal, El",Bar-Cafeteria
Las Palmas De Gran Canaria,Santa Catalina,Bar-Cafeteria
Santa Brigida,Pino Santo,Bar-Cafeteria
San Bartolome De Tirajana,The Windmill Bar,Bar-Cafeteria
Mogan,Piccadilly,Bar-Cafeteria
Galdar,Paco,Bar-Cafeteria
Telde,La Boheme,Bar-Cafeteria
Las Palmas De Gran Canaria,Umare Sushi,Bar-Cafeteria
Las Palmas De Gran Canaria,Piscolabis 1995,Bar-Cafeteria
Las Palmas De Gran Canaria,Mamajuana,Bar-Cafeteria
San Bartolome De Tirajana,Martin,Bar-Cafeteria
Las Palmas De Gran Canaria,Moulin Rouge,Bar-Cafeteria
San Bartolome De Tirajana,Piscolabis El Parque,Bar-Cafeteria
Santa Maria De Guia De Gran Canaria,Santa Cristina,Bar-Cafeteria
Las Palmas De Gran Canaria,Dry,Bar-Cafeteria
Las Palmas De Gran Canaria,"Piedritas, Las",Bar-Cafeteria
Las Palmas De Gran Canaria,Astro Rey,Bar-Cafeteria
Telde,Sergio,Bar-Cafeteria
Valsequillo De Gran Canaria,Adan,Bar-Cafeteria
Mogan,Discoteca Joker,Bar-Cafeteria
Las Palmas De Gran Canaria,"Reina De La Noche, La",Bar-Cafeteria
Telde,Guanijais,Bar-Cafeteria
San Bartolome De Tirajana,Discoteca Bachira,Bar-Cafeteria
San Bartolome De Tirajana,"Coyote, El",Bar-Cafeteria
San Bartolome De Tirajana,Discoteca Chic,Bar-Cafeteria
San Bartolome De Tirajana,Salon,Bar-Cafeteria
Las Palmas De Gran Canaria,Discoteca La Divina,Bar-Cafeteria
Santa Lucia De Tirajana,"Pinos, Los",Bar-Cafeteria
Telde,Fregoli,Bar-Cafeteria
Las Palmas De Gran Canaria,Tasartico,Bar-Cafeteria
Valleseco,Mi Cielo,Bar-Cafeteria
Las Palmas De Gran Canaria,"Guanches, Los",Bar-Cafeteria
Agaete,Hnos. Medina,Bar-Cafeteria
Las Palmas De Gran Canaria,La Vegueta De Colón,Bar-Cafeteria
San Bartolome De Tirajana,Parque Del Paraiso I,Bar-Cafeteria
Arucas,Guillen,Bar-Cafeteria
San Bartolome De Tirajana,Liliput,Bar-Cafeteria
Las Palmas De Gran Canaria,"Tahona 57, La",Bar-Cafeteria
Las Palmas De Gran Canaria,Rosales E Hijos,Bar-Cafeteria
Las Palmas De Gran Canaria,Terraza Jardín De La Luz,Bar-Cafeteria
Las Palmas De Gran Canaria,Interviú La Peirote,Bar-Cafeteria
Santa Lucia De Tirajana,Melian,Bar-Cafeteria
Las Palmas De Gran Canaria,Taliarte,Bar-Cafeteria
San Bartolome De Tirajana,Kopas Machango,Bar-Cafeteria
Las Palmas De Gran Canaria,Panaria,Bar-Cafeteria
Las Palmas De Gran Canaria,Lady Pepa,Bar-Cafeteria
San Bartolome De Tirajana,Ascot Pub,Bar-Cafeteria
Mogan,Plaza De Veneguera,Bar-Cafeteria
Mogan,Microclima,Bar-Cafeteria
San Bartolome De Tirajana,Climax,Bar-Cafeteria
San Bartolome De Tirajana,Charlie Chaplin,Bar-Cafeteria
Las Palmas De Gran Canaria,Pío Pío,Bar-Cafeteria
Las Palmas De Gran Canaria,Coki Triana,Bar-Cafeteria
Las Palmas De Gran Canaria,Flower &Amp; Beach,Bar-Cafeteria
Las Palmas De Gran Canaria,Mi Café,Bar-Cafeteria
Arucas,Churreria Las Caracolas,Bar-Cafeteria
San Bartolome De Tirajana,Joy Tamango,Bar-Cafeteria
San Bartolome De Tirajana,Don Quijote,Bar-Cafeteria
San Bartolome De Tirajana,Turbo Musica Fuerte,Bar-Cafeteria
San Bartolome De Tirajana,Adam'S,Bar-Cafeteria
Las Palmas De Gran Canaria,Black Door,Bar-Cafeteria
Las Palmas De Gran Canaria,Frida ,Bar-Cafeteria
Las Palmas De Gran Canaria,Tu Y Yo Nuevo,Bar-Cafeteria
Galdar,Arakana,Bar-Cafeteria
Las Palmas De Gran Canaria,Ca' Adri,Bar-Cafeteria
Mogan,Star Club,Bar-Cafeteria
Las Palmas De Gran Canaria,The Horse,Bar-Cafeteria
Las Palmas De Gran Canaria,Torosa,Bar-Cafeteria
Las Palmas De Gran Canaria,Pollo Rico,Bar-Cafeteria
Mogan,El Capricho,Bar-Cafeteria
San Bartolome De Tirajana,Cafe Bolle Jan,Bar-Cafeteria
San Bartolome De Tirajana,Swuiss Juhui,Bar-Cafeteria
Las Palmas De Gran Canaria,Carmelo,Bar-Cafeteria
Santa Lucia De Tirajana,El Rincon De Jesu Y Rosy,Bar-Cafeteria
Las Palmas De Gran Canaria,De Copas,Bar-Cafeteria
Mogan,Puerto Sol,Bar-Cafeteria
Las Palmas De Gran Canaria,"Cafetera, La",Bar-Cafeteria
San Bartolome De Tirajana,Gold Lips,Bar-Cafeteria
San Bartolome De Tirajana,Kim'S Bar,Bar-Cafeteria
Agaete,"Palma, La",Bar-Cafeteria
Mogan,Energy,Bar-Cafeteria
Las Palmas De Gran Canaria,Churreria La Paterna,Bar-Cafeteria
Mogan,Pepe Chiringo Puerto Rico,Bar-Cafeteria
Mogan,Kruger,Bar-Cafeteria
Mogan,Motor Grande,Bar-Cafeteria
San Bartolome De Tirajana,Fiesta,Bar-Cafeteria
San Bartolome De Tirajana,"Vieja Gramola, La",Bar-Cafeteria
San Bartolome De Tirajana,Bar Semaforo,Bar-Cafeteria
San Bartolome De Tirajana,Pizza Si,Bar-Cafeteria
Las Palmas De Gran Canaria,El Muro,Bar-Cafeteria
Moya,Falcon,Bar-Cafeteria
San Bartolome De Tirajana,New Dream Time,Bar-Cafeteria
Las Palmas De Gran Canaria,Tabernita 35,Bar-Cafeteria
Aguimes,San Anton,Bar-Cafeteria
Ingenio,Plaza La Cuadra,Bar-Cafeteria
Mogan,Pizza Mozzarela,Bar-Cafeteria
Las Palmas De Gran Canaria,"Almacén, El",Bar-Cafeteria
Santa Maria De Guia De Gran Canaria,Gerardo,Bar-Cafeteria
Galdar,La Inquieta Café-Bar,Bar-Cafeteria
San Bartolome De Tirajana,Boney M,Bar-Cafeteria
Telde,"Palmeras, Las",Bar-Cafeteria
La Aldea De San Nicolas,"Charco, El",Bar-Cafeteria
San Bartolome De Tirajana,"Magic Piano, The",Bar-Cafeteria
Telde,Pizzeria La Preferida,Bar-Cafeteria
Las Palmas De Gran Canaria,Bogart,Bar-Cafeteria
San Bartolome De Tirajana,Bar Piscina Los Arcos,Bar-Cafeteria
San Bartolome De Tirajana,Lamai Beach,Bar-Cafeteria
San Bartolome De Tirajana,Venus,Bar-Cafeteria
San Bartolome De Tirajana,Don Perignon,Bar-Cafeteria
Santa Lucia De Tirajana,Don Benito,Bar-Cafeteria
San Bartolome De Tirajana,Havanna Moon,Bar-Cafeteria
Santa Brigida,Union Amistad,Bar-Cafeteria
Telde,Mentado,Bar-Cafeteria
San Bartolome De Tirajana,Heineken Cafe,Bar-Cafeteria
Santa Brigida,"Geranios, Los",Bar-Cafeteria
Las Palmas De Gran Canaria,"Nueva Mimolett, La",Bar-Cafeteria
San Bartolome De Tirajana,Autopista 66 (Highway 66),Bar-Cafeteria
Moya,Pizzeria El Rincon De Ali Y Patri,Bar-Cafeteria
Las Palmas De Gran Canaria,Ca Yeyito,Bar-Cafeteria
Las Palmas De Gran Canaria,To' Loko,Bar-Cafeteria
Aguimes,El Yunque,Bar-Cafeteria
San Bartolome De Tirajana,Mamadu,Bar-Cafeteria
Las Palmas De Gran Canaria,"Conejeros, Los",Bar-Cafeteria
San Bartolome De Tirajana,Paco'S Bar,Bar-Cafeteria
Las Palmas De Gran Canaria,H!Burger,Bar-Cafeteria
Las Palmas De Gran Canaria,"Rancho, El",Bar-Cafeteria
San Bartolome De Tirajana,Bermuda,Bar-Cafeteria
La Aldea De San Nicolas,Tomas,Bar-Cafeteria
Agaete,Perdomo,Bar-Cafeteria
Las Palmas De Gran Canaria,Cervecería Coriasso,Bar-Cafeteria
La Aldea De San Nicolas,Más Cubas No ...,Bar-Cafeteria
Aguimes,Ohasis Playa,Bar-Cafeteria
Vega San Mateo,Mallow,Bar-Cafeteria
Santa Lucia De Tirajana,"Amigos, Los",Bar-Cafeteria
Ingenio,Churreria Paco,Bar-Cafeteria
Las Palmas De Gran Canaria,Hookah Canteras Club,Bar-Cafeteria
Telde,Los Viejitos,Bar-Cafeteria
Aguimes,"Zoco Del Negro, El",Bar-Cafeteria
Santa Lucia De Tirajana,El Silencio Casa Flora,Bar-Cafeteria
Las Palmas De Gran Canaria,Cajal,Bar-Cafeteria
Las Palmas De Gran Canaria,Luwak,Bar-Cafeteria
Las Palmas De Gran Canaria,"Bikina, La",Bar-Cafeteria
Aguimes,K'Al C'Anario,Bar-Cafeteria
San Bartolome De Tirajana,Duke'S,Bar-Cafeteria
Teror,Cafe Mateo,Bar-Cafeteria
Las Palmas De Gran Canaria,Churrería Vega De San José,Bar-Cafeteria
Moya,Locanda,Bar-Cafeteria
Santa Lucia De Tirajana,Ca' Tania,Bar-Cafeteria
San Bartolome De Tirajana,Angel Azul Ii,Bar-Cafeteria
Las Palmas De Gran Canaria,"Cardon, El",Bar-Cafeteria
Las Palmas De Gran Canaria,Pizzería Michelangelo,Bar-Cafeteria
Las Palmas De Gran Canaria,"Aurora Piano Bar-Karaoke, La",Bar-Cafeteria
San Bartolome De Tirajana,Murphys,Bar-Cafeteria
Telde,Café Lalola,Bar-Cafeteria
Las Palmas De Gran Canaria,"Pajaritos, Los",Bar-Cafeteria
Las Palmas De Gran Canaria,Estoy En Ello,Bar-Cafeteria
Telde,Tasca Meraki,Bar-Cafeteria
Las Palmas De Gran Canaria,Piscolabis Navarro,Bar-Cafeteria
Las Palmas De Gran Canaria,Tasca Acorán,Bar-Cafeteria
Telde,Convoy,Bar-Cafeteria
San Bartolome De Tirajana,Terraza Pacha Gran Canaria,Bar-Cafeteria
Las Palmas De Gran Canaria,"Sarandajos, Los",Bar-Cafeteria
San Bartolome De Tirajana,Cafe Mozart,Bar-Cafeteria
Las Palmas De Gran Canaria,La Jungla,Bar-Cafeteria
Agaete,"Perola, El",Bar-Cafeteria
Santa Lucia De Tirajana,Ca'Andrés,Bar-Cafeteria
Las Palmas De Gran Canaria,"Tienda, La",Bar-Cafeteria
Telde,Bazar Machín Cafeteria,Bar-Cafeteria
Telde,Ecuador,Bar-Cafeteria
Las Palmas De Gran Canaria,Ca' Mimi,Bar-Cafeteria
San Bartolome De Tirajana,"Bounty Del Zarra, La",Bar-Cafeteria
Las Palmas De Gran Canaria,Ohh My Gosh,Bar-Cafeteria
Telde,Los Italianos Antony Y Vito,Bar-Cafeteria
Telde,Herrera,Bar-Cafeteria
San Bartolome De Tirajana,Las Walkirias,Bar-Cafeteria
San Bartolome De Tirajana,Pedro´S La Terraza,Bar-Cafeteria
Arucas,Panaderia Santidad,Bar-Cafeteria
Las Palmas De Gran Canaria,Tasca Trasteando,Bar-Cafeteria
Las Palmas De Gran Canaria,Granier,Bar-Cafeteria
San Bartolome De Tirajana,The Shamrock Bar,Bar-Cafeteria
Las Palmas De Gran Canaria,"Pata De Triana, La",Bar-Cafeteria
San Bartolome De Tirajana,Thailand Shisha Lounge,Bar-Cafeteria
Mogan,Pasta Poké,Bar-Cafeteria
Santa Lucia De Tirajana,Café Bar Churreria Vecindario,Bar-Cafeteria
Las Palmas De Gran Canaria,Latin Palace Las Palmas,Bar-Cafeteria
Las Palmas De Gran Canaria,Rodriguez,Bar-Cafeteria
Las Palmas De Gran Canaria,Mama Mari,Bar-Cafeteria
Mogan,Snoopy,Bar-Cafeteria
San Bartolome De Tirajana,Meicker,Bar-Cafeteria
San Bartolome De Tirajana,"Taberna, La",Bar-Cafeteria
