fid,etiqueta,granularidad,cod_tipocat,cod_tipo,nom_tipo,cod_categor,nom_categor,gcd_isla,nom_isla,gcd_entitur,nom_entitur,gcd_nucltur,nom_nucltur,gcd_municipio,nom_municipio,direccion,num_habitaciones,num_plazas,longitud,latitud,geohash,utm_x,utm_y
168,APARTAMENTOS CURASOL,ALOJAMIENTOS,A2,5510_L6,Apartamentos,2,2 Estrellas,ES705,Gran Canaria,ES705B1,Mogán turístico,ES705B13,Tauro - Playa El Cura,35012,Mogán,"CALLE PAIŃO, 1",70,194,-15.730323,27.800472,esuy4hct2z,428059.86,3075313.8
179,THE ONE LUXURY APARTMENTS,ALOJAMIENTOS,A1,5510_L6,Apartamentos,1,1 Estrella,ES705,Gran Canaria,ES705B1,Mogán turístico,ES705B15,Puerto Rico,35012,Mogán,"CALLE DE LA GRACIOSA, 12",8,16,-15.70921,27.786376,esuy4d2gkg,430130.64,3073740.11
190,APARTAMENTOS CLUB PUERTO ANFI,ALOJAMIENTOS,A3,5510_L6,Apartamentos,3,3 Estrellas,ES705,Gran Canaria,ES705B1,Mogán turístico,ES705B16,Patalavaca - Arguineguín,35012,Mogán,BARRANCO DE LA VERGA S/N,165,402,-15.698066,27.77244,esuvfzc40w,431219.78,3072190.04
201,APARTAMENTOS MALIBU,ALOJAMIENTOS,A2,5510_L6,Apartamentos,2,2 Estrellas,ES705,Gran Canaria,ES705B1,Mogán turístico,ES705B15,Puerto Rico,35012,Mogán,"CALLE ROQUE DEL ESTE, 26",12,28,-15.705656,27.787098,esuy4d7rxd,430481.24,3073818.07
212,APARTAMENTOS LA VENECIA DE CANARIAS,ALOJAMIENTOS,A2,5510_L6,Apartamentos,2,2 Estrellas,ES705,Gran Canaria,ES705B1,Mogán turístico,ES705B11,Puerto de Mogán,35012,Mogán,URBANIZACIÓN PUERTO DE MOGAN LOCAL 328,71,320,-15.764815,27.817856,esuy3206v0,424674.12,3077260.23
224,APARTAMENTOS NATURAL PARK,ALOJAMIENTOS,A1,5510_L6,Apartamentos,1,1 Estrella,ES705,Gran Canaria,ES705B1,Mogán turístico,ES705B15,Puerto Rico,35012,Mogán,"CALLE LOS PECHOS, 5",76,174,-15.702462,27.785171,esuy4dju65,430794.69,3073602.8
230,APARTAMENTOS GRAN AMADORES,ALOJAMIENTOS,A2,5510_L6,Apartamentos,2,2 Estrellas,ES705,Gran Canaria,ES705B1,Mogán turístico,ES705B14,Amadores,35012,Mogán,"CALLE ISLAS AFORTUNADAS, 3",64,128,-15.72028,27.79116,esuy470z4z,429043.12,3074276.4
231,APARTAMENTOS JARDIN AMADORES,ALOJAMIENTOS,A1,5510_L6,Apartamentos,1,1 Estrella,ES705,Gran Canaria,ES705B1,Mogán turístico,ES705B14,Amadores,35012,Mogán,"CALLE MONTAŃA CLARA, Nş 2",25,60,-15.719328,27.790204,esuy47199j,429136.29,3074169.95
232,HOTEL ALTAMADORES,ALOJAMIENTOS,H4,5510_L1,Hotel,4,4 Estrellas,ES705,Gran Canaria,ES705B1,Mogán turístico,ES705B14,Amadores,35012,Mogán,"CALLE SAN BORONDÓN, 6",95,314,-15.719172,27.794458,esuy47cdkw,429154.42,3074641.11
233,APARTAMENTOS CLUB VISTA AMADORES,ALOJAMIENTOS,A4,5510_L6,Apartamentos,4,4 Estrellas,ES705,Gran Canaria,ES705B1,Mogán turístico,ES705B14,Amadores,35012,Mogán,"MONTAŃA CLARA, S/N",36,77,-15.71862,27.790816,esuy474j1x,429206.44,3074237.34
234,VILLAS MIRADOR DEL MAR,ALOJAMIENTOS,A2,5510_L6,Apartamentos,2,2 Estrellas,ES705,Gran Canaria,ES705B1,Mogán turístico,ES705B14,Amadores,35012,Mogán,"CALLE TIMANFAYA, 37 Y 39",2,12,-15.711792,27.794549,esuy47z4bx,429881.5,3074646.95
235,HOTEL SERVATUR CASABLANCA SUITES & SPA,ALOJAMIENTOS,H4,5510_L1,Hotel,4,4 Estrellas,ES705,Gran Canaria,ES705B1,Mogán turístico,ES705B15,Puerto Rico,35012,Mogán,"AVENIDA DE GRAN CANARIA, 24",97,194,-15.705734,27.791832,esuy4e77ju,430476.56,3074342.53
236,HOTEL ANFI EMERALD CLUB,ALOJAMIENTOS,H4,5510_L1,Hotel,4,4 Estrellas,ES705,Gran Canaria,ES705B1,Mogán turístico,ES705B13,Tauro - Playa El Cura,35012,Mogán,C/ LUXEMBURGO Nş 4,119,654,-15.715901,27.80366,esuy4ms00c,429482.59,3075658.59
237,CLUB MONTE ANFI,ALOJAMIENTOS,H3,5510_L1,Hotel,3,3 Estrellas,ES705,Gran Canaria,ES705B1,Mogán turístico,ES705B16,Patalavaca - Arguineguín,35012,Mogán,CALLE LA VERGA S/N,237,732,-15.697919,27.773137,esuvfzcn5z,431234.7,3072267.17
238,LABRANDA COSTA MOGAN,ALOJAMIENTOS,H4,5510_L1,Hotel,4,4 Estrellas,ES705,Gran Canaria,ES705B1,Mogán turístico,ES705B13,Tauro - Playa El Cura,35012,Mogán,"URBANIZACIÓN PLAYA DEL CURA, S/N",125,250,-15.732787,27.798881,esuy1uxspr,427816.09,3075139.0
240,HOTEL MONTE GOLF SUITES,ALOJAMIENTOS,H2,5510_L1,Hotel,2,2 Estrellas,ES705,Gran Canaria,ES705B1,Mogán turístico,ES705B13,Tauro - Playa El Cura,35012,Mogán,"CALLE EL MESIAS S/N, PLAYA DEL CURA",60,180,-15.733675,27.799891,esuy1uz44g,427729.28,3075251.4
241,CLUB GRAN ANFI,ALOJAMIENTOS,H5,5510_L1,Hotel,5,5 Estrellas,ES705,Gran Canaria,ES705B1,Mogán turístico,ES705B16,Patalavaca - Arguineguín,35012,Mogán,BARRANCO DE LA VERGA 4,182,524,-15.699821,27.772227,esuvfxz8zw,431046.72,3072167.43
242,APARTAMENTO VISTAFLOR CURA MARINA,ALOJAMIENTOS,A3,5510_L6,Apartamentos,3,3 Estrellas,ES705,Gran Canaria,ES705B1,Mogán turístico,ES705B13,Tauro - Playa El Cura,35012,Mogán,AVENIDA DE LA PLAYA 2,45,180,-15.732295,27.79997,esuy4hb4df,427865.27,3075259.35
243,HOTEL RADISSON BLU RESORT & SPA,ALOJAMIENTOS,H5,5510_L1,Hotel,5,5 Estrellas,ES705,Gran Canaria,ES705B1,Mogán turístico,ES705B11,Puerto de Mogán,35012,Mogán,AVDA. LOS MARREROS,422,912,-15.757647,27.825872,esuy33t9kn,425385.6,3078143.85
244,IDYLL SUITES,ALOJAMIENTOS,A3,5510_L6,Apartamentos,3,3 Estrellas,ES705,Gran Canaria,ES705B1,Mogán turístico,ES705B13,Tauro - Playa El Cura,35012,Mogán,"C/ PETREL , 1",49,98,-15.732967,27.800642,esuy1uzw7r,427799.52,3075334.18
316,HOTEL OCCIDENTAL ROCA NEGRA,ALOJAMIENTOS,H4,5510_L1,Hotel,4,4 Estrellas,ES705,Gran Canaria,ES705B9,Entidad no turística de Gran Canaria,ES705B90,Núcleo no turístico de Gran Canaria,35001,Agaete,"AVENIDA ALFREDO KRAUS, 42",140,282,-15.707547,28.106289,esuzfsd558,430499.58,3109178.81
355,HOTEL ASTORIA,ALOJAMIENTOS,H3,5510_L1,Hotel,3,3 Estrellas,ES705,Gran Canaria,ES705B2,Las Canteras,ES705B20,Las Canteras,35016,Las Palmas de Gran Canaria,"CALLE FERNANDO GUANARTEME, 54",168,312,-15.437802,28.135075,etj009yd9n,457007.76,3112242.92
356,HOTEL AC IBERIA LAS PALMAS,ALOJAMIENTOS,H4,5510_L1,Hotel,4,4 Estrellas,ES705,Gran Canaria,ES705B9,Entidad no turística de Gran Canaria,ES705B90,Núcleo no turístico de Gran Canaria,35016,Las Palmas de Gran Canaria,"AVENIDA ALCALDE R. BETHENCOURT, 8",281,562,-15.417364,28.112415,esvpcjtqtm,459006.18,3109725.61
357,HOTEL VALENCIA,ALOJAMIENTOS,H2,5510_L1,Hotel,2,2 Estrellas,ES705,Gran Canaria,ES705B2,Las Canteras,ES705B20,Las Canteras,35016,Las Palmas de Gran Canaria,"CALLE VALENCIA, 64",39,68,-15.432051,28.133481,etj00cd9rh,457571.89,3112064.32
358,HOTEL CRISTINA LAS PALMAS,ALOJAMIENTOS,H5,5510_L1,Hotel,5,5 Estrellas,ES705,Gran Canaria,ES705B2,Las Canteras,ES705B20,Las Canteras,35016,Las Palmas de Gran Canaria,"CALLE GOMERA, 6",308,580,-15.430587,28.144622,etj00gef33,457720.03,3113298.0
359,AC HOTEL GRAN CANARIA,ALOJAMIENTOS,H4,5510_L1,Hotel,4,4 Estrellas,ES705,Gran Canaria,ES705B2,Las Canteras,ES705B20,Las Canteras,35016,Las Palmas de Gran Canaria,"CALLE EDUARDO BENOT, 3",227,454,-15.429798,28.142012,etj00gh75e,457796.49,3113008.59
360,HOTEL CONCORDE,ALOJAMIENTOS,H4,5510_L1,Hotel,4,4 Estrellas,ES705,Gran Canaria,ES705B2,Las Canteras,ES705B20,Las Canteras,35016,Las Palmas de Gran Canaria,"CALLE TOMAS MILLER, 85",128,356,-15.433808,28.1416,etj00g12wn,457402.56,3112964.35
362,HOTEL IDAFE,ALOJAMIENTOS,H2,5510_L1,Hotel,2,2 Estrellas,ES705,Gran Canaria,ES705B2,Las Canteras,ES705B20,Las Canteras,35016,Las Palmas de Gran Canaria,"CALLE NICOLAS ESTEVANEZ, 49",33,66,-15.435024,28.13928,etj00f8e1v,457282.24,3112707.77
363,HOTEL MATILDE,ALOJAMIENTOS,H3,5510_L1,Hotel,3,3 Estrellas,ES705,Gran Canaria,ES705B2,Las Canteras,ES705B20,Las Canteras,35016,Las Palmas de Gran Canaria,"C/ JUAN REJON, 73",45,90,-15.425481,28.14937,etj00urtbn,458223.25,3113822.21
364,HOTEL APART. LAS LANZAS,ALOJAMIENTOS,H3,5510_L1,Hotel,3,3 Estrellas,ES705,Gran Canaria,ES705B2,Las Canteras,ES705B20,Las Canteras,35016,Las Palmas de Gran Canaria,"CALLE BERNARDO DE LA TORRE, 79",71,142,-15.434766,28.140612,etj00fbdzy,457308.1,3112855.24
365,HOTEL LEMON & SOUL LAS PALMAS,ALOJAMIENTOS,H3,5510_L1,Hotel,3,3 Estrellas,ES705,Gran Canaria,ES705B2,Las Canteras,ES705B20,Las Canteras,35016,Las Palmas de Gran Canaria,"CALLE ALFREDO L. JONES, 37",71,142,-15.433307,28.14197,etj00g1fcg,457451.9,3113005.16
366,HOTEL DOŃA LUISA,ALOJAMIENTOS,H3,5510_L1,Hotel,3,3 Estrellas,ES705,Gran Canaria,ES705B2,Las Canteras,ES705B20,Las Canteras,35016,Las Palmas de Gran Canaria,"CALLE ALFREDO L. JONES, 29 -  ESQ. C/. 29 DE ABRIL",35,70,-15.432809,28.141986,etj00g44vq,457500.81,3113006.76
367,HOTEL PUJOL,ALOJAMIENTOS,H2,5510_L1,Hotel,2,2 Estrellas,ES705,Gran Canaria,ES705B2,Las Canteras,ES705B20,Las Canteras,35016,Las Palmas de Gran Canaria,"CALLE SALVADOR CUYAS, 5",48,92,-15.430771,28.143847,etj00g7tuc,457701.66,3113212.21
368,HOTEL FAYCAN,ALOJAMIENTOS,H3,5510_L1,Hotel,3,3 Estrellas,ES705,Gran Canaria,ES705B2,Las Canteras,ES705B20,Las Canteras,35016,Las Palmas de Gran Canaria,"CALLE NICOLAS ESTEVANEZ, 61",61,120,-15.435982,28.139167,etj00dxfe8,457188.12,3112695.59
369,SERCOTEL HOTEL PARQUE,ALOJAMIENTOS,H3,5510_L1,Hotel,3,3 Estrellas,ES705,Gran Canaria,ES705B9,Entidad no turística de Gran Canaria,ES705B90,Núcleo no turístico de Gran Canaria,35016,Las Palmas de Gran Canaria,"CALLE MUELLE DE LAS PALMAS, 2",102,223,-15.4169,28.10957,esvpcjjy05,459050.67,3109410.29
370,HOTEL MADRID,ALOJAMIENTOS,H1,5510_L1,Hotel,1,1 Estrella,ES705,Gran Canaria,ES705B9,Entidad no turística de Gran Canaria,ES705B90,Núcleo no turístico de Gran Canaria,35016,Las Palmas de Gran Canaria,"PLAZA CAIRASCO, 4",23,46,-15.416218,28.102896,esvpc5yr0p,459115.13,3108670.73
371,HOTEL ALOE CANTERAS - TENESOYA,ALOJAMIENTOS,H3,5510_L1,Hotel,3,3 Estrellas,ES705,Gran Canaria,ES705B2,Las Canteras,ES705B20,Las Canteras,35016,Las Palmas de Gran Canaria,"CALLE LOS GOFIONES, 2 (ANTES C/SAGASTA)",46,92,-15.429942,28.147815,etj00uhkbm,457784.62,3113651.49
373,HOTEL NH PLAYA DE LAS CANTERAS,ALOJAMIENTOS,H3,5510_L1,Hotel,3,3 Estrellas,ES705,Gran Canaria,ES705B2,Las Canteras,ES705B20,Las Canteras,35016,Las Palmas de Gran Canaria,"CALLE PRUDENCIO MORALES, 41",67,134,-15.430687,28.149178,etj00u7syg,457712.01,3113802.74
374,HOTEL VEROL,ALOJAMIENTOS,H3,5510_L1,Hotel,3,3 Estrellas,ES705,Gran Canaria,ES705B2,Las Canteras,ES705B20,Las Canteras,35016,Las Palmas de Gran Canaria,"CALLE SAGASTA, 25",46,86,-15.431523,28.143453,etj00g757r,457627.67,3113168.82
375,HOTEL FATAGA,ALOJAMIENTOS,H4,5510_L1,Hotel,4,4 Estrellas,ES705,Gran Canaria,ES705B2,Las Canteras,ES705B20,Las Canteras,35016,Las Palmas de Gran Canaria,"CALLE NESTOR DE LA TORRE, 21",94,188,-15.433446,28.133875,etj00c9eww,457435.05,3112108.45
376,HOTEL SANTA CATALINA ROYAL HIDEAWAY,ALOJAMIENTOS,H5,5510_L1,Hotel,5,5 Estrellas,ES705,Gran Canaria,ES705B9,Entidad no turística de Gran Canaria,ES705B90,Núcleo no turístico de Gran Canaria,35016,Las Palmas de Gran Canaria,"CALLE LEON Y CASTILLO, 227",204,554,-15.428228,28.121061,esvpbzm901,457942.47,3110687.12
377,HOTEL REINA ISABEL,ALOJAMIENTOS,H4,5510_L1,Hotel,4,4 Estrellas,ES705,Gran Canaria,ES705B2,Las Canteras,ES705B20,Las Canteras,35016,Las Palmas de Gran Canaria,"CALLE ALFREDO L. JONES, 40",225,600,-15.433171,28.142361,etj00g1vjh,457465.41,3113048.43
378,EXE LAS PALMAS,ALOJAMIENTOS,H4,5510_L1,Hotel,4,4 Estrellas,ES705,Gran Canaria,ES705B2,Las Canteras,ES705B20,Las Canteras,35016,Las Palmas de Gran Canaria,"C/ SAGASTA, 28",114,228,-15.431126,28.143822,etj00g7mss,457666.79,3113209.56
379,HOTEL NH IMPERIAL PLAYA,ALOJAMIENTOS,H4,5510_L1,Hotel,4,4 Estrellas,ES705,Gran Canaria,ES705B2,Las Canteras,ES705B20,Las Canteras,35016,Las Palmas de Gran Canaria,"CALLE FERRERAS, 1",162,324,-15.430696,28.148411,etj00u78qs,457710.82,3113717.78
380,HOTEL OLYMPIA,ALOJAMIENTOS,H2,5510_L1,Hotel,2,2 Estrellas,ES705,Gran Canaria,ES705B2,Las Canteras,ES705B20,Las Canteras,35016,Las Palmas de Gran Canaria,"CALLE DOCTOR GRAU BASSAS, 1",40,78,-15.435614,28.137432,etj00f20kj,457223.56,3112503.26
381,HOTEL BAJAMAR,ALOJAMIENTOS,H2,5510_L1,Hotel,2,2 Estrellas,ES705,Gran Canaria,ES705B2,Las Canteras,ES705B20,Las Canteras,35016,Las Palmas de Gran Canaria,"CALLE VENEZUELA, 34",19,37,-15.438489,28.134927,etj009y1c4,456940.24,3112226.77
382,PENSION FALOW,ALOJAMIENTOS,H1,5510_L1,Hotel,1,1 Estrella,ES705,Gran Canaria,ES705B2,Las Canteras,ES705B20,Las Canteras,35016,Las Palmas de Gran Canaria,"CALLE ALFREDO CALDERÓN, 25",19,30,-15.431207,28.130503,etj00c524c,457653.6,3111734.13
384,PENSION GUACAMAYO,ALOJAMIENTOS,H1,5510_L1,Hotel,1,1 Estrella,ES705,Gran Canaria,ES705B2,Las Canteras,ES705B20,Las Canteras,35016,Las Palmas de Gran Canaria,"CALLE DR. MIGUEL ROSAS, 9",17,29,-15.433098,28.140192,etj00fcbqz,457471.72,3112808.12
385,PENSION SEA OF THE CLOUDS,ALOJAMIENTOS,H1,5510_L1,Hotel,1,1 Estrella,ES705,Gran Canaria,ES705B2,Las Canteras,ES705B20,Las Canteras,35016,Las Palmas de Gran Canaria,"CALLE NICOLÁS ESTEVANEZ, 31",22,40,-15.433906,28.139345,etj00f97ef,457392.05,3112714.58
386,HOTEL ALISIOS CANTERAS,ALOJAMIENTOS,H3,5510_L1,Hotel,3,3 Estrellas,ES705,Gran Canaria,ES705B2,Las Canteras,ES705B20,Las Canteras,35016,Las Palmas de Gran Canaria,"CALLE COLOMBIA, 12",67,151,-15.439173,28.135315,etj009vs14,456873.23,3112270.0
387,HOTEL CATALINA PLAZA,ALOJAMIENTOS,H3,5510_L1,Hotel,3,3 Estrellas,ES705,Gran Canaria,ES705B2,Las Canteras,ES705B20,Las Canteras,35016,Las Palmas de Gran Canaria,"CALLE LUIS MOROTE, 16",36,74,-15.431341,28.141487,etj00g50p9,457644.76,3112950.97
388,PENSION NEPTUNO,ALOJAMIENTOS,H1,5510_L1,Hotel,1,1 Estrella,ES705,Gran Canaria,ES705B2,Las Canteras,ES705B20,Las Canteras,35016,Las Palmas de Gran Canaria,"CALLE COLOMBIA, 4",6,17,-15.438791,28.135589,etj009vvdj,456910.85,3112300.21
389,PENSION SIETE SOLES,ALOJAMIENTOS,H1,5510_L1,Hotel,1,1 Estrella,ES705,Gran Canaria,ES705B2,Las Canteras,ES705B20,Las Canteras,35016,Las Palmas de Gran Canaria,"CALLE LA NAVAL, 71",40,80,-15.428196,28.14924,etj00umt0y,457956.62,3113808.75
390,HOSTAL ALCARAVANERAS,ALOJAMIENTOS,H2,5510_L1,Hotel,2,2 Estrellas,ES705,Gran Canaria,ES705B2,Las Canteras,ES705B20,Las Canteras,35016,Las Palmas de Gran Canaria,"CALLE LUIS ANTUNEZ, 22",20,32,-15.4305,28.130606,etj00c5bem,457723.08,3111745.29
391,PENSION PEREZ,ALOJAMIENTOS,H2,5510_L1,Hotel,2,2 Estrellas,ES705,Gran Canaria,ES705B2,Las Canteras,ES705B20,Las Canteras,35016,Las Palmas de Gran Canaria,"CALLE TECEN, 26",24,40,-15.426155,28.150777,etj00uxn0t,458157.62,3113978.31
392,APARTAMENTOS MIAMI SANTA CATALINA,ALOJAMIENTOS,A2,5510_L6,Apartamentos,2,2 Estrellas,ES705,Gran Canaria,ES705B2,Las Canteras,ES705B20,Las Canteras,35016,Las Palmas de Gran Canaria,PARQUE DE SANTA CATALINA 12,43,86,-15.431423,28.141181,etj00fgnmb,457636.59,3112917.1
393,APARTAMENTOS TINOCA,ALOJAMIENTOS,A2,5510_L6,Apartamentos,2,2 Estrellas,ES705,Gran Canaria,ES705B2,Las Canteras,ES705B20,Las Canteras,35016,Las Palmas de Gran Canaria,"CALLE LA NAVAL, 10",48,96,-15.43048,28.148703,etj00u7f5f,457732.14,3113750.05
395,APARTAMENTOS COLON PLAYA,ALOJAMIENTOS,A2,5510_L6,Apartamentos,2,2 Estrellas,ES705,Gran Canaria,ES705B2,Las Canteras,ES705B20,Las Canteras,35016,Las Palmas de Gran Canaria,"CALLE ALFREDO L JONES, 45",38,75,-15.433915,28.141925,etj00g16ee,457392.18,3113000.39
396,APARTAMENTOS BRISAMAR,ALOJAMIENTOS,A3,5510_L6,Apartamentos,3,3 Estrellas,ES705,Gran Canaria,ES705B2,Las Canteras,ES705B20,Las Canteras,35016,Las Palmas de Gran Canaria,"CALLE PORTUGAL, 10",8,16,-15.436454,28.138051,etj00drs08,457141.32,3112572.13
397,APARTAMENTOS PLAYA DORADA,ALOJAMIENTOS,A2,5510_L6,Apartamentos,2,2 Estrellas,ES705,Gran Canaria,ES705B2,Las Canteras,ES705B20,Las Canteras,35016,Las Palmas de Gran Canaria,"LUIS MOROTE, 61",34,68,-15.435064,28.141093,etj00fbt8z,457279.03,3112908.63
398,APARTAMENTOS MANNIX,ALOJAMIENTOS,A2,5510_L6,Apartamentos,2,2 Estrellas,ES705,Gran Canaria,ES705B2,Las Canteras,ES705B20,Las Canteras,35016,Las Palmas de Gran Canaria,"VEINTINUEVE DE ABRIL, 68",24,48,-15.43248,28.140882,etj00ffkt0,457532.68,3112884.35
399,APARTAMENTOS DON CARLOS,ALOJAMIENTOS,A1,5510_L6,Apartamentos,1,1 Estrella,ES705,Gran Canaria,ES705B2,Las Canteras,ES705B20,Las Canteras,35016,Las Palmas de Gran Canaria,"CALLE TENERIFE, 22",20,44,-15.430436,28.147857,etj00u5vhu,457736.13,3113656.32
400,APARTAMENTOS CATALINA PARK,ALOJAMIENTOS,A1,5510_L6,Apartamentos,1,1 Estrella,ES705,Gran Canaria,ES705B2,Las Canteras,ES705B20,Las Canteras,35016,Las Palmas de Gran Canaria,"CALLE TOMAS MILLER, 67",47,96,-15.433745,28.140395,etj00fc3xt,457408.27,3112830.84
401,APARTAMENTOS MAYPE,ALOJAMIENTOS,A2,5510_L6,Apartamentos,2,2 Estrellas,ES705,Gran Canaria,ES705B2,Las Canteras,ES705B20,Las Canteras,35016,Las Palmas de Gran Canaria,"CALLE KANT, 2",18,36,-15.436846,28.137613,etj00dr1rr,457102.66,3112523.74
402,APARTAMENTOS BRISAMAR CANTERAS,ALOJAMIENTOS,A2,5510_L6,Apartamentos,2,2 Estrellas,ES705,Gran Canaria,ES705B2,Las Canteras,ES705B20,Las Canteras,35016,Las Palmas de Gran Canaria,"0,CALLE LAS CANTERAS, 49",42,84,-15.436768,28.138202,etj00drkcj,457110.55,3112588.96
403,APARTAMENTOS RIVIERA,ALOJAMIENTOS,A2,5510_L6,Apartamentos,2,2 Estrellas,ES705,Gran Canaria,ES705B2,Las Canteras,ES705B20,Las Canteras,35016,Las Palmas de Gran Canaria,"CALLE JOAQUIN COSTA, 65-67",49,118,-15.4343,28.140027,etj00f9pd9,457353.63,3112790.27
404,HOSTAL KASA,ALOJAMIENTOS,H1,5510_L1,Hotel,1,1 Estrella,ES705,Gran Canaria,ES705B2,Las Canteras,ES705B20,Las Canteras,35016,Las Palmas de Gran Canaria,"CALLE GENERAL VIVES, 75",17,34,-15.431519,28.140348,etj00fg17t,457626.84,3112824.85
